"","year","hum_dist","region","site","site.ppq","year.site.ppq","Dead","HardCoral","Macroalgae","Non.Coral","Rubble","Sand","SoftCoral"
"1","2015","Very High","N.Lagoon","27","27.1","2015.27.1",7.10457451389579,3.2872650728086,0.332008972404668,0,79.6447975240263,9.63135391686463,0
"2","2015","Very High","N.Lagoon","27","27.2","2015.27.2",3.71683359767582,0.311907056732387,0.662259764658139,0,90.1361915640471,5.1728080168866,0
"3","2015","Very High","N.Lagoon","27","27.3","2015.27.3",9.55664690005211,0.651855618282301,0.0423182324839323,0,86.94439447935,2.80478476983171,0
"4","2015","Very High","N.Lagoon","30","30.1","2015.30.1",34.5264234190716,41.5908343086021,0.0590741962302133,0,20.6334868884154,3.09251608998657,0.0976650976940923
"5","2015","Very High","N.Lagoon","30","30.2","2015.30.2",9.19988313087075,15.7360896656342,0,0,73.1506606622871,1.91336654120789,0
"6","2015","Very High","N.Lagoon","30","30.3","2015.30.3",18.4998017701891,33.5852024091301,0.0489568506293252,0,41.4430009939498,4.90819501332216,1.51484296277947
"7","2015","Very High","N.Lagoon","32","32.1","2015.32.1",37.8945656107283,3.28904613983921,0.294822635269624,0.0258773007552438,55.0691190571271,3.42656925628051,0
"8","2015","Very High","N.Lagoon","32","32.2","2015.32.2",24.8971893061644,4.63925880648064,0.0955275022430232,0,70.2923765931396,0,0.0756477919723183
"9","2015","Very High","N.Lagoon","32","32.3","2015.32.3",19.870892761609,2.74692755848633,1.13644833514402,0.124691371985576,70.0014038556612,6.11963611711393,0
"10","2015","Medium","S.Lagoon","8","8.1","2015.8.1",49.6333004151694,37.0362074770543,0.070110682632602,0.287958836023736,8.82251226921301,0.273927938008714,3.87598238189826
"11","2015","Medium","S.Lagoon","8","8.2","2015.8.2",35.4756614333286,61.0470694378906,1.29606860999613,0,1.61926286476464,0,0.561937654020066
"12","2015","Medium","S.Lagoon","8","8.3","2015.8.3",42.0098780948974,41.5685134850932,0.516365746279729,0.0174530161059805,8.40516649240709,4.55427557057313,2.92834759464343
"13","2015","Medium","S.Lagoon","34","34.1","2015.34.1",44.5866493549938,44.8021791821846,1.51553544215874,0.00109925957996917,4.41935453850866,0.525277442812426,4.14990477976178
