"","year","hum_dist","region","site","pub.site","ppq","Benthic_Morphology","area_2d","percent.coverage","colony.count","year.site.ppq"
"53","2015","Medium","S.Lagoon","8","M1","3","SoftCoral_Nodular",0.285204,1.78091950106979,2.2,"2015.8.3"
"54","2015","Medium","S.Lagoon","8","M1","3","SoftCoral_Plating",0.183754,1.14742809357364,2.2,"2015.8.3"
"55","2015","Medium","S.Lagoon","34","M3","1","Dead_Branching",0.602528,3.7632652056799,2.2,"2015.34.1"
"56","2015","Medium","S.Lagoon","34","M3","1","Dead_Columnar",0.093497,0.583962914479416,2.2,"2015.34.1"
"57","2015","Medium","S.Lagoon","34","M3","1","Dead_Massive",6.442644,40.2394212348345,2.2,"2015.34.1"
"58","2015","Medium","S.Lagoon","34","M3","1","Live_Branching",0.688677,4.3013340326956,2.2,"2015.34.1"
"59","2015","Medium","S.Lagoon","34","M3","1","Live_Columnar",0.074406,0.464724479018101,2.2,"2015.34.1"
"60","2015","Medium","S.Lagoon","34","M3","1","Live_Encrusting",2.387658,14.9128177851706,2.2,"2015.34.1"
"61","2015","Medium","S.Lagoon","34","M3","1","Live_Foliose",0.09963,0.622268363365501,2.2,"2015.34.1"
"62","2015","Medium","S.Lagoon","34","M3","1","Live_FreeLiving",0.045115,0.281778954263119,2.2,"2015.34.1"
"63","2015","Medium","S.Lagoon","34","M3","1","Live_Massive",1.245115,7.77673063587107,2.2,"2015.34.1"
"64","2015","Medium","S.Lagoon","34","M3","1","Live_Massive_Grooved",0.443224,2.76828538677417,2.2,"2015.34.1"
"65","2015","Medium","S.Lagoon","34","M3","1","Live_Porites",1.848447,11.5450174591777,2.2,"2015.34.1"
"66","2015","Medium","S.Lagoon","34","M3","1","Live_SubMassive",0.340905,2.1292220858488,2.2,"2015.34.1"
"67","2015","Medium","S.Lagoon","34","M3","1","Macroalgae",0.242649,1.51553544215874,2.2,"2015.34.1"
"68","2015","Medium","S.Lagoon","34","M3","1","NonCoral_Massive",0.000176,0.00109925957996917,2.2,"2015.34.1"
"69","2015","Medium","S.Lagoon","34","M3","1","Rubble",0.707573,4.41935453850866,2.2,"2015.34.1"
"70","2015","Medium","S.Lagoon","34","M3","1","Sand",0.084101,0.525277442812426,2.2,"2015.34.1"
"71","2015","Medium","S.Lagoon","34","M3","1","SoftCoral_Nodular",0.003725,0.0232655791783247,2.2,"2015.34.1"
"72","2015","Medium","S.Lagoon","34","M3","1","SoftCoral_Plating",0.660707,4.12663920058346,2.2,"2015.34.1"
"73","2015","Medium","S.Lagoon","34","M3","2","Dead_Branching",0.666791,4.16641048020091,2.2,"2015.34.2"
"74","2015","Medium","S.Lagoon","34","M3","2","Dead_Massive",6.888399,43.0418193787941,2.2,"2015.34.2"
"75","2015","Medium","S.Lagoon","34","M3","2","Live_Branching",0.318499,1.99012519895066,2.2,"2015.34.2"
"76","2015","Medium","S.Lagoon","34","M3","2","Live_Digitate",0.016902,0.105611308395518,2.2,"2015.34.2"
"77","2015","Medium","S.Lagoon","34","M3","2","Live_Encrusting",1.916744,11.9766797834137,2.2,"2015.34.2"
