"","year","hum_dist","region","site","ppq","year.site.ppq","Sand","Rubble","Dead","Macroalgae","Non.Coral","SoftCoral","HardCoral"
"1",2015,"Medium","S.Lagoon",8,1,"2015.8.1",0.273927938008714,8.82251226921301,49.6333004151694,0.070110682632602,0.287958836023736,3.87598238189826,37.0362074770543
"2",2015,"Medium","S.Lagoon",8,2,"2015.8.2",0,1.61926286476464,35.4756614333286,1.29606860999613,0,0.561937654020066,61.0470694378906
"3",2015,"Medium","S.Lagoon",8,3,"2015.8.3",4.55427557057313,8.40516649240709,42.0098780948974,0.516365746279729,0.0174530161059805,2.92834759464343,41.5685134850932
"4",2015,"Medium","S.Lagoon",34,1,"2015.34.1",0.525277442812426,4.41935453850866,44.5866493549938,1.51553544215874,0.00109925957996917,4.14990477976178,44.8021791821846
"5",2015,"Medium","S.Lagoon",34,2,"2015.34.2",0.130892538650415,6.17260044508962,47.208229858995,1.48440686709696,0,2.52668588190129,42.4771844082668
"6",2015,"Medium","S.Lagoon",34,3,"2015.34.3",0,3.22518928051293,44.386739383164,1.08704967253341,16.6374029237009,1.92238743171897,32.7412313083698
"7",2015,"Medium","S.Lagoon",35,1,"2015.35.1",2.487853285493,12.7131769870401,38.1810929497361,0.133544360535414,0.266389045326806,0,46.2179433718686
"8",2015,"Medium","S.Lagoon",35,2,"2015.35.2",2.03092240485213,10.2877156733623,39.974596289229,0.0498740404026584,0,3.79205767620708,43.8648339159468
"9",2015,"Medium","S.Lagoon",35,3,"2015.35.3",0.450190558949386,4.86635508582759,39.9584839325784,0.853099832422579,1.07432476882744,0.453083164020141,52.3444626573744
"10",2015,"Very High","N.Lagoon",27,1,"2015.27.1",9.63135391686463,79.6447975240263,7.10457451389579,0.332008972404668,0,0,3.2872650728086
"11",2015,"Very High","N.Lagoon",27,2,"2015.27.2",5.1728080168866,90.1361915640471,3.71683359767582,0.662259764658139,0,0,0.311907056732387
"12",2015,"Very High","N.Lagoon",27,3,"2015.27.3",2.80478476983171,86.94439447935,9.55664690005211,0.0423182324839323,0,0,0.651855618282301
"13",2015,"Very High","N.Lagoon",30,1,"2015.30.1",3.09251608998657,20.6334868884154,34.5264234190716,0.0590741962302133,0,0.0976650976940923,41.5908343086021
"14",2015,"Very High","N.Lagoon",30,2,"2015.30.2",1.91336654120789,73.1506606622871,9.19988313087075,0,0,0,15.7360896656342
"15",2015,"Very High","N.Lagoon",30,3,"2015.30.3",4.90819501332216,41.4430009939498,18.4998017701891,0.0489568506293252,0,1.51484296277947,33.5852024091301
"16",2015,"Very High","N.Lagoon",32,1,"2015.32.1",3.42656925628051,55.0691190571271,37.8945656107283,0.294822635269624,0.0258773007552438,0,3.28904613983921
"17",2015,"Very High","N.Lagoon",32,2,"2015.32.2",0,70.2923765931396,24.8971893061644,0.0955275022430232,0,0.0756477919723183,4.63925880648064
"18",2015,"Very High","N.Lagoon",32,3,"2015.32.3",6.11963611711393,70.0014038556612,19.870892761609,1.13644833514402,0.124691371985576,0,2.74692755848633
"19",2015,"Very Low","BOW",15,1,"2015.15.1",0,0.117886400568667,66.2022497753214,0.0401073566673012,0,0,33.6397564674426
"20",2015,"Very Low","BOW",15,2,"2015.15.2",0,3.39854513195221,24.740662685795,0,0,0,71.8607921822527
"21",2015,"Very Low","BOW",15,3,"2015.15.3",0,0.0707280256865195,39.318746656898,0,0,0,60.6105253174154
"22",2015,"Very Low","BOW",19,1,"2015.19.1",0,0.0803803771404306,67.7529598086867,0.00533619730083393,0.203112915059611,0,31.9582107018124
"23",2015,"Very Low","BOW",19,2,"2015.19.2",0,0,35.8258923272488,0.699302140955682,0,0,63.4748055317955
"24",2015,"Very Low","Vaskes",5,1,"2015.5.1",0,0,32.1196986948433,0.223671188609587,0.0571234875613356,12.4152690132692,55.1842376157166
"25",2015,"Very Low","Vaskes",5,2,"2015.5.2",0.2970492912345,19.0119285299256,17.5182254431618,2.76149243615244,0.0304875575191304,23.6450387039075,36.7357780380992
"26",2015,"Very Low","Vaskes",5,3,"2015.5.3",0,0.674957205259478,18.7082053955244,2.49186920221563,0.791386620769202,16.9366526705373,60.396928905694
"27",2017,"Medium","S.Lagoon",8,1,"2017.8.1",0.358959351442043,19.9518584950829,67.1107007877729,3.56191542848719,0.08633239126232,0,8.93023354595259
"28",2017,"Medium","S.Lagoon",8,2,"2017.8.2",0,0,39.1221612585957,42.6068930923842,0,0,18.27094564902
"29",2017,"Medium","S.Lagoon",8,3,"2017.8.3",7.36837465328069,3.28734176219385,62.1350479922091,23.3940650669139,0.0133174680852153,0.0150843895423723,3.78676866777494
"30",2017,"Medium","S.Lagoon",34,1,"2017.34.1",4.01220276077582,0.708559063337059,42.5296023611072,44.2045676132739,0,0,8.54506820150601
"31",2017,"Medium","S.Lagoon",34,2,"2017.34.2",1.23513539660354,5.79586736810667,55.1307524250001,32.3101047169827,0,0,5.52814009330702
"32",2017,"Medium","S.Lagoon",34,3,"2017.34.3",3.36891033813214,2.55172323671987,38.5466815112518,51.497458978539,0,0,4.03522593535719
"33",2017,"Medium","S.Lagoon",35,1,"2017.35.1",5.1185022260907,22.8462412831832,49.2538833744531,4.84012790857656,0,0,17.9412452076965
"34",2017,"Medium","S.Lagoon",35,2,"2017.35.2",3.64892002833826,10.2280363461225,60.957095907439,9.18537981368291,0,0,15.9805679044173
"35",2017,"Medium","S.Lagoon",35,3,"2017.35.3",0.795772535307726,2.70854591211357,44.4563711675626,41.0952816582828,0.0496979182274688,0,10.8943308085059
