"","pub.site","site","ppq","hum_dist","hdist.cont","island.side","region.3","region.4","region.full","timepoint","volume.change"
"59","VH1","27","3","Very High","7276","Leeward","Leeward","Leeward","North Lagoon","2017-2019",-0.067
"60","VH3","30","1","Very High","5085.68478","Leeward","Leeward","Leeward","North Lagoon","2017-2019",-0.883
"61","VH3","30","2","Very High","5085.68478","Leeward","Leeward","Leeward","North Lagoon","2017-2019",0.014
"62","VH3","30","3","Very High","5085.68478","Leeward","Leeward","Leeward","North Lagoon","2017-2019",0.094
"63","VH2","32","1","Very High","4860.7457","Leeward","Leeward","Leeward","Mid Lagoon","2017-2019",0.641
"64","VH2","32","2","Very High","4860.7457","Leeward","Leeward","Leeward","Mid Lagoon","2017-2019",-0.122
"65","VH2","32","3","Very High","4860.7457","Leeward","Leeward","Leeward","Mid Lagoon","2017-2019",-0.225
"66","M3","34","1","Medium","1212.82819","Leeward","Leeward","Leeward","South Lagoon","2017-2019",0.03
"67","M3","34","2","Medium","1212.82819","Leeward","Leeward","Leeward","South Lagoon","2017-2019",-0.049
"68","M3","34","3","Medium","1212.82819","Leeward","Leeward","Leeward","South Lagoon","2017-2019",0.075
"69","M2","35","1","Medium","1212.82819","Leeward","Leeward","Leeward","South Lagoon","2017-2019",0.115
"70","M2","35","2","Medium","1212.82819","Leeward","Leeward","Leeward","South Lagoon","2017-2019",0.048
"71","M2","35","3","Medium","1212.82819","Leeward","Leeward","Leeward","South Lagoon","2017-2019",-0.355
