"","year","hum_dist","region","site","ppq","site.ppq","year.site.ppq","status","per_area","prop_area"
"50","2015","Medium","S.Lagoon","8",1,"8.1","2015.8.1","HardCoral",37.0362074770543,0.370362074770543
"51","2015","Medium","S.Lagoon","8",1,"8.1","2015.8.1","Macroalgae",0.070110682632602,0.00070110682632602
"52","2015","Medium","S.Lagoon","8",1,"8.1","2015.8.1","Non.Coral",0.287958836023736,0.00287958836023736
"53","2015","Medium","S.Lagoon","8",1,"8.1","2015.8.1","Rubble",8.82251226921301,0.0882251226921301
"54","2015","Medium","S.Lagoon","8",1,"8.1","2015.8.1","Sand",0.273927938008714,0.00273927938008714
"55","2015","Medium","S.Lagoon","8",1,"8.1","2015.8.1","SoftCoral",3.87598238189826,0.0387598238189826
"56","2015","Medium","S.Lagoon","8",2,"8.2","2015.8.2","Dead",35.4756614333286,0.354756614333286
"57","2015","Medium","S.Lagoon","8",2,"8.2","2015.8.2","HardCoral",61.0470694378906,0.610470694378906
"58","2015","Medium","S.Lagoon","8",2,"8.2","2015.8.2","Macroalgae",1.29606860999613,0.0129606860999613
"59","2015","Medium","S.Lagoon","8",2,"8.2","2015.8.2","Rubble",1.61926286476464,0.0161926286476464
"60","2015","Medium","S.Lagoon","8",2,"8.2","2015.8.2","SoftCoral",0.561937654020066,0.00561937654020066
"61","2015","Medium","S.Lagoon","8",3,"8.3","2015.8.3","Dead",42.0098780948974,0.420098780948974
"62","2015","Medium","S.Lagoon","8",3,"8.3","2015.8.3","HardCoral",41.5685134850932,0.415685134850932
"63","2015","Medium","S.Lagoon","8",3,"8.3","2015.8.3","Macroalgae",0.516365746279729,0.00516365746279729
"64","2015","Medium","S.Lagoon","8",3,"8.3","2015.8.3","Non.Coral",0.0174530161059805,0.000174530161059805
"65","2015","Medium","S.Lagoon","8",3,"8.3","2015.8.3","Rubble",8.40516649240709,0.0840516649240709
"66","2015","Medium","S.Lagoon","8",3,"8.3","2015.8.3","Sand",4.55427557057313,0.0455427557057313
"67","2015","Medium","S.Lagoon","8",3,"8.3","2015.8.3","SoftCoral",2.92834759464343,0.0292834759464343
"68","2015","Medium","S.Lagoon","34",1,"34.1","2015.34.1","Dead",44.5866493549938,0.445866493549938
"69","2015","Medium","S.Lagoon","34",1,"34.1","2015.34.1","HardCoral",44.8021791821846,0.448021791821846
"70","2015","Medium","S.Lagoon","34",1,"34.1","2015.34.1","Macroalgae",1.51553544215874,0.0151553544215874
"71","2015","Medium","S.Lagoon","34",1,"34.1","2015.34.1","Non.Coral",0.00109925957996917,1.09925957996917e-05
"72","2015","Medium","S.Lagoon","34",1,"34.1","2015.34.1","Rubble",4.41935453850866,0.0441935453850866
"73","2015","Medium","S.Lagoon","34",1,"34.1","2015.34.1","Sand",0.525277442812426,0.00525277442812426
"74","2015","Medium","S.Lagoon","34",1,"34.1","2015.34.1","SoftCoral",4.14990477976178,0.0414990477976178
"75","2015","Medium","S.Lagoon","34",2,"34.2","2015.34.2","Dead",47.208229858995,0.47208229858995
"76","2015","Medium","S.Lagoon","34",2,"34.2","2015.34.2","HardCoral",42.4771844082668,0.424771844082667
"77","2015","Medium","S.Lagoon","34",2,"34.2","2015.34.2","Macroalgae",1.48440686709696,0.0148440686709696
"78","2015","Medium","S.Lagoon","34",2,"34.2","2015.34.2","Rubble",6.17260044508962,0.0617260044508962
"79","2015","Medium","S.Lagoon","34",2,"34.2","2015.34.2","Sand",0.130892538650415,0.00130892538650415
"80","2015","Medium","S.Lagoon","34",2,"34.2","2015.34.2","SoftCoral",2.52668588190129,0.0252668588190129
"81","2015","Medium","S.Lagoon","34",3,"34.3","2015.34.3","Dead",44.386739383164,0.44386739383164
"82","2015","Medium","S.Lagoon","34",3,"34.3","2015.34.3","HardCoral",32.7412313083698,0.327412313083698
"83","2015","Medium","S.Lagoon","34",3,"34.3","2015.34.3","Macroalgae",1.08704967253341,0.0108704967253341
"84","2015","Medium","S.Lagoon","34",3,"34.3","2015.34.3","Non.Coral",16.6374029237009,0.166374029237009
"85","2015","Medium","S.Lagoon","34",3,"34.3","2015.34.3","Rubble",3.22518928051293,0.0322518928051293
"86","2015","Medium","S.Lagoon","34",3,"34.3","2015.34.3","SoftCoral",1.92238743171897,0.0192238743171897
"87","2015","Medium","S.Lagoon","35",1,"35.1","2015.35.1","Dead",38.1810929497361,0.381810929497361
"88","2015","Medium","S.Lagoon","35",1,"35.1","2015.35.1","HardCoral",46.2179433718686,0.462179433718686
"89","2015","Medium","S.Lagoon","35",1,"35.1","2015.35.1","Macroalgae",0.133544360535414,0.00133544360535414
"90","2015","Medium","S.Lagoon","35",1,"35.1","2015.35.1","Non.Coral",0.266389045326806,0.00266389045326806
"91","2015","Medium","S.Lagoon","35",1,"35.1","2015.35.1","Rubble",12.7131769870401,0.127131769870401
"92","2015","Medium","S.Lagoon","35",1,"35.1","2015.35.1","Sand",2.487853285493,0.02487853285493
