"","year.site.ppq","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Enrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating","NonCoral_Branching","hum_dist","site","year"
"35","2017.35.3",30,0,0,2,0,0,6,0,0,87,0,1,2,45,0,53,12,0,86,0,1,0,21,37,0,0,0,"Medium",35,2017
"36","2017.27.1",0,0,0,14,0,0,1,0,0,2,0,0,1,1,0,2,1,0,64,0,0,0,1,140,0,0,0,"Very High",27,2017
"37","2017.27.2",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24,0,0,0,"Very High",27,2017
"38","2017.27.3",1,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30,0,0,0,"Very High",27,2017
"39","2017.30.1",12,0,0,1,0,0,1,0,0,8,0,0,3,6,0,21,4,0,34,0,0,0,85,98,0,0,0,"Very High",30,2017
"40","2017.30.2",7,0,0,14,0,0,2,0,0,7,0,0,0,7,0,6,4,0,8,0,0,0,1,0,0,0,0,"Very High",30,2017
"41","2017.30.3",16,0,0,2,0,0,0,0,0,1,0,0,0,4,0,13,9,0,11,0,0,0,8,4,0,0,0,"Very High",30,2017
"42","2017.32.1",4,0,0,22,0,0,1,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,1,32,1,0,0,"Very High",32,2017
"43","2017.32.2",4,0,0,28,0,0,1,0,0,11,0,0,1,9,0,0,0,0,0,0,0,0,1,1,0,0,0,"Very High",32,2017
"44","2017.32.3",4,0,0,56,0,0,2,0,0,1,0,1,0,3,0,0,0,0,15,0,1,0,1,242,0,0,0,"Very High",32,2017
"45","2017.5.1",54,0,9,1,1,3,0,0,0,61,0,0,0,37,3,12,33,0,144,0,0,0,5,0,0,0,0,"Very Low",5,2017
"46","2017.5.2",11,0,1,113,0,1,3,0,0,47,0,1,7,28,4,23,9,0,20,0,1,0,14,11,0,0,0,"Very Low",5,2017
"47","2017.5.3",26,0,5,1,1,0,0,0,0,14,0,2,12,27,7,10,10,0,17,0,0,0,1,0,0,1,0,"Very Low",5,2017
"48","2017.15.1",53,0,0,42,0,3,3,0,0,15,0,0,0,2,0,8,15,0,1,0,0,0,2,0,0,0,0,"Very Low",15,2017
"49","2017.15.2",2,0,9,41,0,18,2,0,0,19,0,0,0,2,0,2,10,0,0,0,0,0,6,0,0,0,0,"Very Low",15,2017
"50","2017.15.3",1,0,43,66,0,6,4,2,0,41,0,4,1,3,0,12,38,0,57,0,0,0,2,1,0,0,0,"Very Low",15,2017
"51","2017.19.1",78,0,0,1,0,11,0,0,0,37,0,0,0,0,0,3,12,0,19,0,0,0,14,1,0,0,0,"Very Low",19,2017
"52","2017.19.2",48,0,19,1,0,3,0,0,0,15,0,0,0,1,0,1,13,0,12,0,0,0,5,0,0,0,0,"Very Low",19,2017
"53","2017.19.3",49,0,20,40,0,20,2,0,0,11,0,3,0,2,0,5,9,0,23,0,0,0,1,0,0,0,0,"Very Low",19,2017
"54","2017.37.1",14,0,1,68,0,0,6,0,1,29,0,0,2,30,0,23,7,0,319,0,0,0,3,43,0,0,0,"Very Low",37,2017
"55","2017.37.2",13,0,0,1,0,0,3,0,0,28,0,0,0,9,1,22,5,0,29,0,0,0,6,17,0,0,0,"Very Low",37,2017
"56","2017.37.3",29,0,1,1,3,0,1,0,0,20,0,0,5,19,1,19,9,0,21,0,0,0,8,2,0,0,0,"Very Low",37,2017
