"","year","pub.site","site","ppq","hum_dist","sqrt.hdist.cont","island.side","region.3","DEM","area_3d","rug","vrm","vrm.range","curv","mean.pro.curv","pro.range.log","mean.plan.curv","plan.range.log","fractal.dimension","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating"
"11","2015","M1","8",2,"Medium",34.8256829078771,"Leeward","Leeward",1,33.49165,2.09196,0.0909,0.893453319,46.04387,-212.06297,14.0211794886116,-166.01911,14.0192972176274,2.23735950047647,3.11946007915433,0,0.0624215553610304,32.2937797988132,0,0,7.31658202947504,0,9.85044497375003,0,8.70226061093052,0.72549287201926,22.5759603310204,6.37990268258414,5.49642593811122,0,1.29606860999613,0,1.61926286476464,0,0.561937654020066,0
"12","2015","M1","8",3,"Medium",34.8256829078771,"Leeward","Leeward",1,28.51803,1.78084,0.06025,0.778192913,-2.54636,103.79142,13.080942668482,101.24506,13.199004633711,2.18910236932898,1.77078488742399,0,0,40.2390932074735,0,0,1.39237602301525,0,5.91491145732122,0.612310502082373,3.23631995755826,0.268670293730202,8.592965941204,20.365821461952,1.18513784822982,0,0.516365746279729,0,8.40516649240709,4.55427557057313,1.78091950106979,1.14742809357364
"13","2015","M2","35",1,"Medium",34.8256829078771,"Leeward","Leeward",1,26.39876,1.64931,0.05375,0.677982296,21.92695,131.0193,13.1994825947336,152.94625,12.8399360163427,2.15492738146246,1.74777126725333,0,0,36.4333216824828,0,0,4.24961806762678,0.198283108172056,14.8002784959345,0,0.991652930844861,0.30477125757032,11.6570476869626,13.0203034031416,0.995988421615857,0,0.133544360535414,0.266389045326806,12.7131769870401,2.487853285493,0,0
"14","2015","M2","35",2,"Medium",34.8256829078771,"Leeward","Leeward",1,31.04983,1.94004,0.06925,0.814766504,48.29471,104.35529,13.6473443892557,152.65,13.8854130365133,2.19177543990821,0.653029430931764,0,0,39.3215668582972,0,0,7.49883030599845,0,7.46902333534067,0,0.792080729596673,0,10.3075703270514,14.1294412214473,2.45424261399698,1.2136453825154,0.0498740404026584,0,10.2877156733623,2.03092240485213,0,3.79205767620708
"15","2015","M2","35",3,"Medium",34.8256829078771,"Leeward","Leeward",1,35.81899,2.23798,0.08512,0.887038161,-7.87282,-60.11308,14.1246472472053,-67.9859,14.1064751978666,2.26794173641745,4.03852650072943,0,0,35.919957431849,0,0,5.41761813902035,0.44264979367854,6.48662626224258,0,2.57094488787657,0.507449145285182,13.9354841611755,20.3548620411683,2.62882822692743,0,0.853099832422579,0,4.86635508582759,0.450190558949386,0,0.453083164020141
"16","2015","M3","34",1,"Medium",34.8256829078771,"Leeward","Leeward",1,30.87631,1.92882,0.06978,0.786008358,-1.99482,95.1055,13.7298285129848,93.11068,13.9118298591616,2.2076607832672,3.7632652056799,0.583962914479416,0,40.2394212348345,0,0,4.3013340326956,0.464724479018101,14.9128177851706,0,0.622268363365501,0.281778954263119,10.5450160226452,11.5450174591777,2.1292220858488,0,1.51553544215874,0,4.41935453850866,0.525277442812426,0.0232655791783247,4.12663920058346
"17","2015","M3","34",2,"Medium",34.8256829078771,"Leeward","Leeward",1,28.83118,1.8016,0.06928,0.766596315,31.03026,104.35264,12.9818171525601,135.3829,13.1386229094627,2.20188103285967,4.16641048020091,0,0,43.0418193787941,0,0,2.09573650734618,0,11.9766797834137,0,4.06385466404332,0.524351210899697,11.8971682522734,9.10015566139597,2.81923832889443,0,1.48440686709696,0,6.17260044508962,0.130892538650415,0,2.52668588190129
"18","2015","M3","34",3,"Medium",34.8256829078771,"Leeward","Leeward",1,29.63807,1.85193,0.07234,0.814504708,13.06869,136.25805,13.8376647992241,149.32673,13.8055557037139,2.21678125052879,2.80281071848766,0,0,41.5839286646764,0,0,2.95928585723591,0,12.0538013133643,0,2.68771082699775,0.168249344829456,6.34809600156706,7.70996876118862,0.814119203186694,0,1.08704967253341,16.4911404252406,3.22518928051293,0,1.92238743171897,0
"19","2015","VL1","15",1,"Very Low",0,"Windward","Windward",1,33.30464,2.08414,0.08435,0.839392851,-44.0828,-85.80637,13.9924565987761,-129.88917,13.8753976137281,2.2284227306166,6.19237635297361,0,11.9841947638754,3.87829068881864,0,1.34900325778466,6.39516899855518,0,1.3800728996844,0.016886896823496,48.7008174594526,0,1.42822928334046,9.86561989556229,4.04119553483969,4.6924277193665,0,0,0.0757162489231012,0,0,0
"20","2015","VL1","15",2,"Very Low",0,"Windward","Windward",1,44.13456,2.75714,0.10977,0.857060786,-9.93691,-401.93005,14.2639778821814,-411.86695,14.2071762657966,2.30724752442449,3.60050709995516,0,3.18677888177603,16.5965827018366,0,1.35679400222726,4.34636318270979,0,1.25492938387705,0.167209846796538,31.2759911052055,0,0.640837857718134,1.69851382694168,1.64498993999467,30.8319570390094,0,0,3.39854513195221,0,0,0
