"","year.site.ppq","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Enrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating","NonCoral_Branching","hum_dist","site","year","region"
"1","2015.15.1",6.19503157404381,0,12.6911274287822,3.81453885501731,0,0.20263593533044,6.41480531255654,0,0,1.3806646593632,0,49.3616777478215,0,0.532271551771535,0.896570140161364,9.86985016199379,4.04292835386121,4.52214956410126,0,0,0,0,0.075748715195827,0,0,0,0,"Very Low","15","2015","BOW"
"2","2015.15.2",3.60099035291534,0,3.18720660495094,15.7078748695762,0,1.35697610844167,4.43577152132043,0,0,1.33045727438599,0,32.0224976644564,0,0.459876304566124,0.181047565145084,1.69874179811685,1.64521072729932,30.9743479308502,0,0,0,0,3.39900127797547,0,0,0,0,"Very Low","15","2015","BOW"
"3","2015.15.3",8.8113487967683,0,3.87091759612455,26.6065868792127,0,0.0332647315931663,9.13876022895183,0,0.11688891785217,3.14197386194349,0.236620708145154,30.9039603337445,0.0345518342806555,0.235870939589335,0,4.44603381493675,4.62646561789458,7.72602757186391,0,0,0,0,0.0707281670989187,0,0,0,0,"Very Low","15","2015","BOW"
"4","2015.19.1",20.8891566846244,0,0.253856777214263,42.2953933870894,0,4.3145529597587,19.3745014498336,0,0,3.06115894457266,0,1.72608486953123,0.0171958020748185,0.118696023333304,0,2.06701414017303,4.35174388052517,1.24181559176866,0.00533619730083393,0.0797367842575431,0,0.123376130802068,0.0803803771404306,0,0,0,0,"Very Low","19","2015","BOW"
"5","2015.19.2",7.47379748818722,0,2.03677160165735,26.0417970763737,0,0.273526161030593,9.97477766941017,0,0,0.960365194658119,0,45.166525855419,0,0.133477068257346,0.113517355017516,1.36883650927043,3.20025108632067,2.55705479344227,0.699302140955682,0,0,0,0,0,0,0,0,"Very Low","19","2015","BOW"
"6","2015.27.1",0.544536449908616,0,0,1.76974971262139,0,0,0.442535872244948,0,0,1.16703436836303,0,0.672263749654742,0.238753481561172,0.417152923173795,0,0.349779663376217,0,0,0.332034725574443,0,0,0,84.434058054761,9.6321009987606,0,0,0,"Very High","27","2015","N.Lagoon"
"7","2015.27.2",0,0,0,3.71683359767582,0,0,0.161679144115092,0,0,0,0,0,0.0778096499209222,0.0724182626963733,0,0,0,0,0.662259764658139,0,0,0,90.1361915640471,5.1728080168866,0,0,0,"Very High","27","2015","N.Lagoon"
"8","2015.27.3",0.0865606910070535,0,0,0.0144163759041609,0,0,0.0248868230203488,0,0,0.258483309845067,0,0,0.0504479503272499,0.16697772073663,0,0.151069134420562,0,0,0.0423188375393687,0,0,0,96.4000142852612,2.80482487193838,0,0,0,"Very High","27","2015","N.Lagoon"
"9","2015.30.1",1.21547309957269,0.0832301426304504,0,33.2277201768684,0,0,4.21158364301976,0,0,11.2698651326248,0.310978191744715,0.439408761699718,0.191090122194545,3.42293002900272,1.32245388748928,15.7665562855063,3.32537093313847,1.33059732218177,0.0590741962302133,0,0,0,20.6334868884154,3.09251608998657,0,0.0976650976940923,0,"Very High","30","2015","N.Lagoon"
"10","2015.30.2",0.249114539838086,0,0,5.04359957359977,0,0,3.80432392424149,0,0.0218647563616446,3.53268243827767,0,0.196770313108309,0,2.36725968883578,0.273490619644696,3.32908407411128,1.73793577708843,0,0,0,0,0,77.5304894656853,1.91338482920752,0,0,0,"Very High","30","2015","N.Lagoon"
"11","2015.30.3",1.06320263443373,0,0,17.4365991357554,0,0,2.51222209705356,0,0.141847900164372,7.89887603386027,0,1.02312100233955,0.0089934717975305,4.85037539186953,0.0275032192894722,15.641085166622,1.48117812613391,0,0.0489568506293252,0,0,0,41.4430009939498,4.90819501332216,0.0259659268784064,1.48887703590107,0,"Very High","30","2015","N.Lagoon"
"12","2015.32.1",0.472849674607508,0,0,28.5007802662853,0,0,1.21203090740014,0.0491034759428251,0,0.301608874171515,0,0.737807359626227,0.244949095813478,0.537715222695785,0,0.110952747943046,0.00127395511793671,0,0.294839426387969,0,0,0.0258787745525966,64.0834458087907,3.42676441066493,0,0,0,"Very High","32","2015","N.Lagoon"
"13","2015.32.2",0.478124514167728,0,0,24.4190647919967,0,0,1.25026769553325,0,0,2.29518872300958,0,0.109812922186294,0.0367125302737893,0.685331783248722,0.200788819910679,0,0.0611563323183276,0,0.0955275022430232,0,0,0,70.2923765931396,0,0.0756477919723183,0,0,"Very High","32","2015","N.Lagoon"
"14","2015.32.3",0.0417720469533802,0,0,19.8291207146556,0,0,0.774688413704955,0,0,1.01404986492809,0,0.425998657121781,0.00907164405867604,0.491568150507322,0,0.0315508281655055,0,0,1.13644833514402,0,0,0.124691371985576,70.0014038556612,6.11963611711393,0,0,0,"Very High","32","2015","N.Lagoon"
"15","2015.34.1",3.7632652056799,0.583962914479416,0,40.2394212348345,0,0,4.3013340326956,0.464724479018101,0,14.9128177851706,0,0.622268363365501,0.281778954263119,7.77673063587107,2.76828538677417,11.5450174591777,2.1292220858488,0,1.51553544215874,0,0.00109925957996917,0,4.41935453850866,0.525277442812426,0.0232655791783247,4.12663920058346,0,"Medium","34","2015","S.Lagoon"
"16","2015.34.2",4.16641048020091,0,0,43.0418193787941,0,0,1.99012519895066,0,0.105611308395518,11.9766797834137,0,4.06385466404332,0.524351210899697,8.32940930649199,3.56775894578145,9.10015566139597,2.81923832889443,0,1.48440686709696,0,0,0,6.17260044508962,0.130892538650415,0,2.52668588190129,0,"Medium","34","2015","S.Lagoon"
"17","2015.34.3",2.80281071848766,0,0,41.5839286646764,0,0,2.95928585723591,0,0,12.0538013133643,0,2.68771082699775,0.168249344829456,4.65684529230388,1.69125070926318,7.70996876118862,0.814119203186694,0,1.08704967253341,0.136968058858788,0.0092944396015084,16.4911404252406,3.22518928051293,0,1.92238743171897,0,0,"Medium","34","2015","S.Lagoon"
