"","year","hum_dist","pub.site","site","ppq","DEM","area_2d","area_3d","rug","vrm","curv","pro.curv","plan.curv","region.kb","island.side","region.3","region.4","region.full","hdist.cont","sqrt.hdist.cont","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Branching","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating"
"35","2015","Medium","M1","8",3,8,16.01384,19.19765,1.19882,0.04116,-0.47173,29.37697,28.90525,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,1.77078488742399,0,0,40.2390932074735,0,0,1.37873207303616,0,0.0136439499790938,5.91491145732122,0.612310502082373,3.23631995755826,0.268670293730202,7.24001687478738,1.35294906641663,20.365821461952,1.18513784822982,0,0.516365746279729,0,0,0.0174530161059805,0,8.40516649240709,4.55427557057313,1.78091950106979,1.14742809357364
"38","2015","Medium","M2","35",1,8,16.00591,19.00001,1.18706,0.04705,27.65889,44.20526,71.86415,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,3.7632652056799,0.583962914479416,0,40.2394212348345,0,0,4.3013340326956,0.464724479018101,0,14.9128177851706,0,0.622268363365501,0.281778954263119,7.77673063587107,2.76828538677417,11.5450174591777,2.1292220858488,0,1.51553544215874,0,0,0.00109925957996917,0,4.41935453850866,0.525277442812426,0.0232655791783247,4.12663920058346
"41","2015","Medium","M2","35",2,8,16.00473,20.71615,1.29438,0.06179,38.93075,19.97492,58.90567,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,4.16641048020091,0,0,43.0418193787941,0,0,1.99012519895066,0,0.105611308395518,11.9766797834137,0,4.06385466404332,0.524351210899697,8.32940930649199,3.56775894578145,9.10015566139597,2.81923832889443,0,1.48440686709696,0,0,0,0,6.17260044508962,0.130892538650415,0,2.52668588190129
"44","2015","Medium","M2","35",3,8,16.00504,20.48014,1.27961,0.05691,2.97497,43.28095,46.25592,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,2.80281071848766,0,0,41.5839286646764,0,0,2.95928585723591,0,0,12.0538013133643,0,2.68771082699775,0.168249344829456,4.65684529230388,1.69125070926318,7.70996876118862,0.814119203186694,0,1.08704967253341,0,0.136968058858788,0.0092944396015084,16.4911404252406,3.22518928051293,0,1.92238743171897,0
"47","2015","Medium","M3","34",1,8,16.00784,20.0182,1.25052,0.04694,-8.48429,65.5944,57.11012,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,1.74777126725333,0,0,36.4333216824828,0,0,4.24961806762678,0.198283108172056,0,14.8002784959345,0,0.991652930844861,0.30477125757032,8.89247264470872,2.76457504225386,13.0203034031416,0.995988421615857,0,0.133544360535414,0,0,0,0.266389045326806,12.7131769870401,2.487853285493,0,0
"50","2015","Medium","M3","34",2,8,16.0031,18.92807,1.18278,0.04139,21.59378,46.03671,67.63049,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,0.653029430931764,0,0,39.3215668582972,0,0,7.49883030599845,0,0,7.46902333534067,0,0.792080729596673,0,8.46327416983901,1.84429615721237,14.1294412214473,2.45424261399698,1.2136453825154,0.0498740404026584,0,0,0,0,10.2877156733623,2.03092240485213,0,3.79205767620708
"53","2015","Medium","M3","34",3,8,16.00392,18.90459,1.18125,0.03856,7.92886,43.29949,51.22835,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,4.03852650072943,0,0,35.919957431849,0,0,5.41761813902035,0.44264979367854,0,6.48662626224258,0,2.57094488787657,0.507449145285182,12.5113665947097,1.42411756646572,20.3548620411683,2.62882822692743,0,0.853099832422579,0,0.972227680131358,0.10209708869608,0,4.86635508582759,0.450190558949386,0,0.453083164020141
"56","2015","Very Low","VL1","15",1,8,15.98005,20.55434,1.28625,0.06108,-24.99276,36.81396,11.8212,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,6.19237635297361,0,11.9841947638754,3.87829068881864,0,1.34900325778466,6.39516899855518,0,0,1.3800728996844,0.016886896823496,48.7008174594526,0,0.532043417560687,0.896185865779771,9.86561989556229,4.04119553483969,4.6924277193665,0,0,0,0,0,0.0757162489231012,0,0,0
"59","2015","Very Low","VL1","15",2,8,16.00737,23.08581,1.4422,0.08429,-7.38245,15.50826,8.12581,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,3.60050709995516,0,3.18677888177603,16.5965827018366,0,1.35679400222726,4.34636318270979,0,0,1.25492938387705,0.167209846796538,31.2759911052055,0,0.459814589159049,0.181023268559085,1.69851382694168,1.64498993999467,30.8319570390094,0,0,0,0,0,3.39854513195221,0,0,0
"62","2015","Very Low","VL1","15",3,8,16.00391,22.58955,1.4115,0.08158,7.7654,14.66485,22.43025,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,8.79987223969353,0,3.90417452177826,26.6146998954262,0,0,7.72531859008054,0,0,2.92086752297146,0.427029827170571,30.9040734906674,0.0345517651984499,0.235870467993975,0,4.44602492563092,4.62646261589602,9.29032611180614,0,0,0,0,0,0.0707280256865195,0,0,0
"65","2015","Very Low","VL3","19",1,8,16.00236,22.9285,1.43282,0.09234,-17.70794,71.11422,53.40627,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,20.8891566846244,0,0.253856777214263,42.2953933870894,0,4.3145529597587,19.3745014498336,0,0,3.06115894457266,0,1.72608486953123,0.0171958020748185,0.118696023333304,0,2.06701414017303,4.35174388052517,1.24181559176866,0.00533619730083393,0,0.0797367842575431,0,0.123376130802068,0.0803803771404306,0,0,0
"68","2015","Very Low","VL3","19",2,8,16.00487,19.86451,1.24115,0.05752,-4.89715,35.52824,30.63109,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,7.47379748818722,0,2.03677160165735,26.0417970763737,0,0.273526161030593,9.97477766941017,0,0,0.960365194658119,0,45.166525855419,0,0.133477068257346,0.113517355017516,1.36883650927043,3.20025108632067,2.55705479344227,0.699302140955682,0,0,0,0,0,0,0,0
"71","2015","Very Low","VL3","5",1,8,16.00663,21.34386,1.33344,0.07599,11.16566,23.28326,34.44891,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0,5.97292156777736,0,0.218817191471009,25.9279599355949,0,0,7.42650317421427,0.0480089678378023,0.0444668618177588,19.4985439882714,0,9.33844079616548,0.375038435286223,6.01278431647911,3.55684293027499,4.34105395833159,4.54255418703794,0,0.223671188609587,0,0,0.0571234875613356,0,0,0,12.4152690132692,0
"74","2015","Very Low","VL3","5",2,8,16.02239,21.74886,1.3574,0.07006,-17.60075,12.8722,-4.72855,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0,0.974029094553868,0,0.0450292175026665,16.4428416026282,0.0563255284770014,0,2.07882703101118,0,0.0996509377498373,4.47648463795323,0,2.95585139546887,0.921747770226794,5.15503718733091,0.307209730055614,16.5154750098765,4.22549433842624,0,2.76149243615244,0,0,0.0304875575191304,0,19.0119285299256,0.2970492912345,10.0962558034017,13.5487829005057
"77","2015","Very Low","VL3","5",3,8,16.01333,19.46078,1.21529,0.05123,28.21901,-3.46423,24.75478,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0,1.91970553497375,0,0.588165843987455,16.2003340165632,0,0,5.18087173590402,0,0,4.97746365311277,0.459055811634088,14.03713066923,1.45745927764438,8.36768993812721,11.9511348590157,6.97976489474557,6.98635806628023,0,2.49186920221563,0,0,0,0.791386620769202,0.674957205259478,0,16.9366526705373,0
"80","2017","Very High","VH1","27",1,8,15.99916,17.95656,1.12234,0.03305,2.99629,45.15949,48.15578,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445,0,0,0,19.8332958416903,0,0,0.0184385129658061,0,0,0.0328205530791348,0,0,0.314273515401252,0.0161758886628834,0,0.0532779269561122,0.0395584232408768,0,2.78650308351315,0,0,0,0,64.8464875039072,12.0591687505832,0,0
"83","2017","Very High","VH1","27",2,8,16.00492,17.8302,1.11405,0.03259,-11.11879,68.53732,57.41853,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445,0,0,0,19.0566852932016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385880738734185,0,0,0,0,72.5106896649754,8.39403696794959,0,0
"86","2017","Very High","VH1","27",3,8,16.00605,16.6497,1.04021,0.02013,4.10919,70.52735,74.63654,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445,0.201090852431039,0,0,17.4418934465262,0,0,0,0,0,0,0,0,0,0.0175119663020537,0,0,0,0,0,0,0,0,0,77.4913942711442,4.84810946359654,0,0
"89","2017","Very High","VH2","32",1,8,16.011,18.79263,1.17373,0.04129,6.82197,56.96381,63.78579,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069,2.17533749753173,0,0,45.6351464843018,0,0,0.0298567525751293,0,0,0.349145289531765,0,0,0.194400077984988,0.331848619140815,0,7.29454579993351,0.481569797813921,0,3.95301404479638,0,0,0,0,30.9115932682958,8.64354236809414,0,0
