"","year","hum_dist","region","site","ppq","year.site.ppq","Sand","Rubble","Dead","Macroalgae","Non.Coral","SoftCoral","HardCoral"
"15",2015,"Very High","N.Lagoon",30,3,"2015.30.3",0.0490819501332216,0.414430009939498,0.184998017701891,0.000489568506293252,0,0.0151484296277947,0.335852024091301
"16",2015,"Very High","N.Lagoon",32,1,"2015.32.1",0.0342656925628051,0.550691190571271,0.378945656107283,0.00294822635269624,0.000258773007552438,0,0.0328904613983921
"17",2015,"Very High","N.Lagoon",32,2,"2015.32.2",0,0.702923765931396,0.248971893061644,0.000955275022430232,0,0.000756477919723183,0.0463925880648064
"18",2015,"Very High","N.Lagoon",32,3,"2015.32.3",0.0611963611711393,0.700014038556612,0.19870892761609,0.0113644833514402,0.00124691371985576,0,0.0274692755848633
"19",2015,"Very Low","BOW",15,1,"2015.15.1",0,0.00117886400568667,0.662022497753214,0.000401073566673012,0,0,0.336397564674426
"20",2015,"Very Low","BOW",15,2,"2015.15.2",0,0.0339854513195221,0.24740662685795,0,0,0,0.718607921822527
"21",2015,"Very Low","BOW",15,3,"2015.15.3",0,0.000707280256865195,0.39318746656898,0,0,0,0.606105253174154
"22",2015,"Very Low","BOW",19,1,"2015.19.1",0,0.000803803771404306,0.677529598086867,5.33619730083393e-05,0.00203112915059611,0,0.319582107018124
"23",2015,"Very Low","BOW",19,2,"2015.19.2",0,0,0.358258923272488,0.00699302140955682,0,0,0.634748055317955
"24",2015,"Very Low","Vaskes",5,1,"2015.5.1",0,0,0.321196986948433,0.00223671188609587,0.000571234875613356,0.124152690132692,0.551842376157166
"25",2015,"Very Low","Vaskes",5,2,"2015.5.2",0.002970492912345,0.190119285299256,0.175182254431618,0.0276149243615244,0.000304875575191304,0.236450387039075,0.367357780380992
"26",2015,"Very Low","Vaskes",5,3,"2015.5.3",0,0.00674957205259478,0.187082053955244,0.0249186920221563,0.00791386620769202,0.169366526705373,0.60396928905694
"27",2017,"Medium","S.Lagoon",8,1,"2017.8.1",0.00358959351442043,0.199518584950829,0.671107007877729,0.0356191542848719,0.0008633239126232,0,0.0893023354595259
