"","year","pub.site","site","ppq","hum_dist","hdist.cont","sqrt.hdist.cont","island.side","region.3","region.full","DEM","year.site.ppq","area_2d","area_3d","rug","vrm","vrm.range","curv","pro.curv","pro.range","plan.curv","plan.range"
"28","2016a","VH1","27",2,"Very High",7276,85.2994724485445,"Leeward","Leeward","North Lagoon",1,"2016a.27.2",16.00637,21.88405,1.36721,0.02719,0.765188152,-26.41165,270.07637,487971.875,243.66472,360769.8438
"29","2016a","VH1","27",3,"Very High",7276,85.2994724485445,"Leeward","Leeward","North Lagoon",1,"2016a.27.3",16.00602,19.85504,1.24047,0.02553,0.718357631,-3.05214,307.80933,518235.3282,304.75719,427680.0781
"30","2016a","VH2","32",1,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward","Mid Lagoon",1,"2016a.32.1",16.01018,26.67415,1.66608,0.04946,0.778330553,3.26793,40.52219,634028.7813,43.79011,771549.875
"31","2016a","VH2","32",2,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward","Mid Lagoon",1,"2016a.32.2",16.01751,23.21297,1.44922,0.03832,0.523885697,-3.06318,240.45119,355001.1719,237.38802,298103.4376
"32","2016a","VH2","32",3,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward","Mid Lagoon",1,"2016a.32.3",16.00649,22.33214,1.39519,0.03423,0.50004434,-3.09149,203.96426,368322.5313,200.87276,153002.90625
"33","2016a","VH3","30",1,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward","North Lagoon",1,"2016a.30.1",16.0047,33.06914,2.06621,0.05062,0.855920849,25.73039,65.20097,1320191.1875,90.93137,1103770.75
"34","2016a","VH3","30",2,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward","North Lagoon",1,"2016a.30.2",15.99734,25.88852,1.6183,0.05386,0.789707123,-9.84229,342.65283,648482.3438,332.81054,456277.875
"35","2016a","VH3","30",3,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward","North Lagoon",1,"2016a.30.3",16.01265,28.2555,1.76457,0.05165,0.694082883,8.47491,214.71545,679157.3438,223.19036,418632.7031
"36","2016a","M1","8",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016a.8.1",16.01002,25.65982,1.60274,0.04437,0.610328309,35.25515,148.14125,687617.0938,183.39639,418346.7813
"37","2016a","M1","8",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016a.8.2",16.01089,29.37194,1.8345,0.06188,0.697568106,35.26821,133.14782,914022.5,168.41602,628906.8438
