"","year","region","hum_dist","site","pub.site","C_Live_Branching","C_Live_Columnar","C_Live_Digitate","C_Live_Encrusting","C_Live_Enrusting_Columnar","C_Live_Foliose","C_Live_FreeLiving","C_Live_Massive","C_Live_Massive_Grooved","C_Live_Porites","C_Live_SubMassive","C_Live_Tabulate","C_NonCoral_Encrusting","C_NonCoral_Massive","C_NonCoral_SubMassive","C_SoftCoral_Nodular","C_SoftCoral_Plating","C_NonCoral_Branching","P_Dead_Branching","P_Dead_Columnar","P_Dead_Foliose","P_Dead_Massive","P_Dead_SoftCoral","P_Dead_Tabulate","P_Live_Branching","P_Live_Columnar","P_Live_Digitate","P_Live_Encrusting","P_Live_Enrusting_Columnar","P_Live_Foliose","P_Live_FreeLiving","P_Live_Massive","P_Live_Massive_Grooved","P_Live_Porites","P_Live_SubMassive","P_Live_Tabulate","P_Macroalgae","P_NonCoral_Encrusting","P_NonCoral_Massive","P_NonCoral_SubMassive","P_Rubble","P_Sand","P_SoftCoral_Nodular","P_SoftCoral_Plating","P_NonCoral_Branching","A_Dead_Branching","A_Dead_Columnar","A_Dead_Foliose","A_Dead_Massive","A_Dead_SoftCoral","A_Dead_Tabulate","A_Live_Branching","A_Live_Columnar","A_Live_Digitate","A_Live_Encrusting","A_Live_Enrusting_Columnar","A_Live_Foliose","A_Live_FreeLiving","A_Live_Massive","A_Live_Massive_Grooved","A_Live_Porites","A_Live_SubMassive","A_Live_Tabulate","A_Macroalgae","A_NonCoral_Encrusting","A_NonCoral_Massive","A_NonCoral_SubMassive","A_Rubble","A_Sand","A_SoftCoral_Nodular","A_SoftCoral_Plating","A_NonCoral_Branching"
"11","2017","BOW","Very Low","19","VL3",2,0,0,63,0,3,0,3,0,9,34,0,0,0,0,0,0,0,46.6814984971787,0,42.2319298738413,117.977074364474,0,40.0997090495087,0.0623289441548015,0,0,1.14847523050277,0,0.399027578591674,0,0.181070800256408,0,1.5113422161802,2.5452073407225,0,12.4554883692953,0,0,0,34.6866600983625,0.0201876369311918,0,0,0,7.482985,0,6.777257,18.900189,0,6.423731,0.009986,0,0,0.184057,0,0.06393,0,0.029048,0,0.242157,0.407872,0,1.99591,0,0,0,5.560706,0.003231,0,0,0
"12","2017","N.Lagoon","Very High","27","VH1",1,0,0,2,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0.201090852431039,0,0,56.331874581418,0,0,0.0184385129658061,0,0,0.0328205530791348,0,0,0.314273515401252,0.0336878549649372,0,0.0532779269561122,0.0395584232408768,0,2.82509115738657,0,0,0,214.848571440027,25.3013151821294,0,0,0,0.032187,0,0,9.014949,0,0,0.00295,0,0,0.005251,0,0,0.050281,0.005391,0,0.008524,0.006329,0,0.451992,0,0,0,34.38359,4.04882,0,0,0
"13","2017","N.Lagoon","Very High","30","VH3",3,0,0,16,0,0,3,17,0,40,17,0,0,0,0,0,0,0,8.07002336075558,0,0,121.724960382658,0,0,0.09797169511966,0,0,0.916406162299134,0,0,0.194400077984988,1.06924974783569,0,15.9772228366174,7.41473877853263,0,13.5614114148872,0,0,0,122.176757702355,8.79685784095444,0,0,0,1.291936,0,0,19.486625,0,0,0.015683,0,0,0.146699,0,0,0.03111,0.171177,0,2.557715,1.187273,0,2.17119,0,0,0,19.558978,1.407784,0,0,0
"14","2017","N.Lagoon","Very High","32","VH2",4,0,0,12,0,1,3,14,0,0,0,0,0,1,0,1,0,0,2.09623785758138,0,0,110.717901268236,0,0,0.164868770382511,0,0,0.120614910368251,0,0.0054482613236051,0.0439342970236265,0.216291049443395,0,0,0,0,0.926697818820878,0,0.0236924391503561,0,165.283132246289,20.3638957800331,0.0372853013485338,0,0,0.335894,0,0,17.748375,0,0,0.026407,0,0,0.019314,0,0.000872,0.007055,0.034647,0,0,0,0,0.148585,0,0.003792,0,26.491255,3.261472,0.005989,0,0
"15","2017","S.Lagoon","Medium","34","M3",9,0,0,189,0,0,10,117,3,72,24,0,0,0,0,0,0,1,19.4128867107545,0,0,114.965271345158,0,1.82890346234683,0.314747694160863,0,0,3.88841645018429,0,0,0.504086275798053,4.10035891139264,0.0989730624783817,8.24343980581886,0.95840892298241,0,127.925081482572,0,0,0,9.05614641032001,8.61624780124476,0,0,0.0870316647890119,3.121469,0,0,18.459307,0,0.292834,0.050534,0,0,0.624811,0,0,0.080894,0.657999,0.015974,1.323321,0.153903,0,20.565554,0,0,0,1.453687,1.385345,0,0,0.013961
"16","2017","S.Lagoon","Medium","35","M2",14,0,0,232,0,2,5,187,1,138,30,0,0,2,0,0,0,0,23.0511364475079,0,0,126.069803978472,0,0.748900593244981,0.30537920509527,0,0,4.66843755100464,0,0.174832747325302,0.647561315993542,10.742042823055,0.107954698746062,18.6924967884649,2.4305188263723,0,91.3759456969823,0,0.0993958395589759,0,15.6451283395203,5.24046514865617,0,0,0,3.690803,0,0,20.185477,0,0.119916,0.048896,0,0,0.747477,0,0.027992,0.103682,1.71997,0.017286,2.99291,0.389162,0,14.630098,0,0.015914,0,2.505057,0.839093,0,0,0
"17","2017","S.Lagoon","Medium","8","M1",9,0,0,122,0,0,8,154,5,65,54,0,0,4,0,1,0,0,13.5677883755374,0,2.6466298189661,151.802924790731,0,0.350567053343399,0.213485523870251,0,0,4.11552526851334,0,0,0.755832496032599,14.6329992625251,0.624012324306952,6.69999225189965,3.94610073559969,0,69.5628735877853,0,0.0996498593475353,0,23.2392002572768,7.72733400472273,0.0150843895423723,0,0,2.172295,0,0.423899,24.306294,0,0.056121,0.03418,0,0,0.658891,0,0,0.121023,2.342618,0.099918,1.072722,0.631733,0,11.137935,0,0.015954,0,3.720623,1.237626,0.002416,0,0
"18","2017","Vaskes","Very Low","37","VL4",10,0,1,77,0,0,7,58,2,64,21,0,0,0,0,0,0,0,15.4502852965743,0,0.319453073014893,132.969830359161,0.828415128747602,0,0.732923964209808,0,0.0255812533776908,1.67331754029866,0,0,0.539794609325154,3.23000344490351,0.129177456788439,18.7354164040591,1.07724258417462,0,53.9448355729858,0,0,0,67.2635187119502,3.08020460042962,0,0,0,2.472812,0,0.051129,21.281478,0.132592,0,0.117302,0,0.004094,0.26781,0,0,0.086395,0.516955,0.020675,2.998529,0.17241,0,8.63344,0,0,0,10.7651,0.492962,0,0,0
"19","2017","Vaskes","Very Low","5","VL3",3,0,0,122,0,3,19,92,14,45,52,0,0,1,0,0,1,0,23.5705061644363,0,9.42127921587719,150.02922650955,7.47668456298493,2.22044218055808,0.536997870793613,0,0,3.07881458254812,0,1.47758287657092,1.38084051190612,7.34389167875389,1.85256914466661,15.5990272286902,5.75303593377095,0,56.2908639883615,0,0.0364717944903001,0,13.2326098356372,0.594033416626408,0,0.105122503777635,0,3.774012,0,1.508534,24.024747,1.197211,0.35548,0.086045,0,0,0.493093,0,0.236632,0.221189,1.176036,0.296705,2.498616,0.921392,0,9.016759,0,0.005844,0,2.119976,0.095184,0,0.016835,0
"20","2019","N.Lagoon","Very High","27","VH1",5,0,0,17,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0.044249056404334,0,0,22.4054360672239,0,0,0.264585006848722,0,0,0.220905711071305,0,0,0.339885243651613,0.0817429688662263,0,0.106212204243746,0,0,3.63844407232353,0,0,0,251.362095962032,21.536443707335,0,0,0,0.007083,0,0,3.585409,0,0,0.042334,0,0,0.03535,0,0,0.054381,0.013082,0,0.016995,0,0,0.582233,0,0,0,40.229476,3.446436,0,0,0
"21","2019","N.Lagoon","Very High","30","VH3",22,0,0,49,0,0,4,17,0,44,16,0,0,0,0,0,0,0,2.95899550348558,0,0,53.2580541062022,0,0,0.67016491601913,0,0,2.35252210002634,0,0,0.218030457988151,0.525796587738453,0,5.89132214277334,1.41222113881338,0,14.7683691218425,0,0,0,100.222275624321,17.7222483007898,0,0,0,0.473842,0,0,8.530634,0,0,0.10733,0,0,0.376696,0,0,0.034937,0.084229,0,0.943942,0.226175,0,2.364801,0,0,0,16.049444,2.839101,0,0,0
"22","2019","N.Lagoon","Very High","32","VH2",3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.193728203937991,0,0,23.4577593403176,0,0,0.048360244295099,0,0,0.0146985171169352,0,0,0,0.161920962564301,0,0,0,0,0.0363778932554224,0,0,0,62.2668772413443,13.8202775971683,0,0,0,0.031026,0,0,3.756812,0,0,0.007745,0,0,0.002354,0,0,0,0.025932,0,0,0,0,0.005826,0,0,0,9.972178,2.213348,0,0,0
"23","2019","S.Lagoon","Medium","34","M3",67,0,0,778,0,0,29,254,5,181,69,0,0,3,0,0,0,0,22.2801717326849,0,0,176.831933131396,0,0,1.72504130818995,0,0,9.18189814522248,0,0,0.468882392177078,6.69579816772537,0.417643288672155,15.1118025041288,2.44439680853766,0,22.8669955064096,0,0.0517019673195088,0,20.8700174898241,21.0537175577123,0,0,0,3.568401,0,0,28.318319,0,0,0.276216,0,0,1.470512,0,0,0.075092,1.072647,0.06689,2.421022,0.391526,0,3.662319,0,0.008277,0,3.342207,3.372549,0,0,0
"24","2019","S.Lagoon","Medium","35","M2",50,0,3,536,1,1,7,249,5,141,50,0,0,3,0,0,0,1,10.9758180457619,0,0,96.4840253149029,0,2.39518085354523,2.7422202428748,0,0.0152481703757222,8.98355227848609,0.0410884653607782,0.0349364151012078,0.429503136670574,13.0603644251711,0.631040627347584,20.326538778916,3.43338525102742,0,13.910686052883,0,0.0323955376074742,0,15.9681315000223,10.4658595086523,0,0,0.0700253952936688,1.758564,0,0,15.461683,0,0.383432,0.439569,0,0.002441,1.439711,0.006592,0.005605,0.06883,2.092562,0.10102,3.257953,0.550275,0,2.229627,0,0.005192,0,2.560216,1.677428,0,0,0.01121
"25","2019","S.Lagoon","Medium","8","M1",84,0,2,443,0,0,21,301,22,126,155,0,0,2,0,1,1,0,15.7675925747955,0,0.0960723121170002,175.948566170254,0,0,2.07037816564109,0,0.053093908093777,9.03025886611275,0,0,1.00438629576972,12.9322325945648,2.55286912526706,10.4389058033991,6.26291964271114,0,23.6468720632152,0,0.0370702340708715,0,29.6432009607101,9.97297962673133,0.0121011400547736,0.53050051649215,0,2.524961,0,0.015386,28.177828,0,0,0.331562,0,0.008503,1.446135,0,0,0.16084,2.0709,0.408819,1.67172,1.002903,0,3.786496,0,0.005936,0,4.747481,1.59735,0.001938,0.084943,0
"26","2019","Vaskes","Very Low","37","VL4",53,0,1,318,0,1,16,167,13,132,56,0,0,0,0,5,0,0,13.3989029996996,0,0,112.56457893741,0.647731237606403,0,2.58791425425366,0,0.0690168977704069,5.36561505743337,0,0.0209482861176556,0.700576966483941,5.66715979250901,1.06151088593998,23.9602261414904,3.22735813638124,0,3.72068559875746,0,0,0,122.173591064292,3.43045466817977,1.40372907567524,0,0,2.146949,0,0,18.032091,0.103831,0,0.414491,0,0.011048,0.859462,0,0.003358,0.112263,0.907862,0.170081,3.838334,0.517028,0,0.595871,0,0,0,19.568401,0.549136,0.224987,0,0
"27","2019","Vaskes","Very Low","5","VL3",51,0,0,546,3,1,54,160,32,61,100,0,0,0,0,1,6,0,23.0165371548662,0.161906304762082,0.709449748787013,169.306194919235,3.26085093096689,0,1.55867613432694,0,0,10.0775885004616,0.279656606793191,0.0391634541354934,1.95997420069614,10.0307014855401,5.09449790783238,19.2742805045799,10.4506236652504,0,18.9565965483799,0,0,0,25.1746218902619,0.325831654297981,0.0228125715624252,0.300035817264191,0,3.685488,0.025915,0.113636,27.118861,0.522325,0,0.249732,0,0,1.614195,0.044778,0.006273,0.314033,1.606741,0.815958,3.088632,1.674218,0,3.038,0,0,0,4.035465,0.052206,0.003654,0.04807,0
