"","year","hum_dist","region","site","site.ppq","year.site.ppq","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Branching","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating"
"11","2015","Medium","S.Lagoon","8","8.2","2015.8.2",3.11946007915433,0,0.0624215553610304,32.2937797988132,0,0,7.31658202947504,0,0,9.85044497375003,0,8.70226061093052,0.72549287201926,15.5455780723831,7.03038225863723,6.37990268258414,5.49642593811122,0,1.29606860999613,0,0,0,0,1.61926286476464,0,0.561937654020066,0
"12","2015","Medium","S.Lagoon","8","8.3","2015.8.3",1.77078488742399,0,0,40.2390932074735,0,0,1.37873207303616,0,0.0136439499790938,5.91491145732122,0.612310502082373,3.23631995755826,0.268670293730202,7.24001687478738,1.35294906641663,20.365821461952,1.18513784822982,0,0.516365746279729,0,0,0.0174530161059805,0,8.40516649240709,4.55427557057313,1.78091950106979,1.14742809357364
"13","2015","Medium","S.Lagoon","34","34.1","2015.34.1",3.7632652056799,0.583962914479416,0,40.2394212348345,0,0,4.3013340326956,0.464724479018101,0,14.9128177851706,0,0.622268363365501,0.281778954263119,7.77673063587107,2.76828538677417,11.5450174591777,2.1292220858488,0,1.51553544215874,0,0,0.00109925957996917,0,4.41935453850866,0.525277442812426,0.0232655791783247,4.12663920058346
"14","2015","Medium","S.Lagoon","34","34.2","2015.34.2",4.16641048020091,0,0,43.0418193787941,0,0,1.99012519895066,0,0.105611308395518,11.9766797834137,0,4.06385466404332,0.524351210899697,8.32940930649199,3.56775894578145,9.10015566139597,2.81923832889443,0,1.48440686709696,0,0,0,0,6.17260044508962,0.130892538650415,0,2.52668588190129
"15","2015","Medium","S.Lagoon","34","34.3","2015.34.3",2.80281071848766,0,0,41.5839286646764,0,0,2.95928585723591,0,0,12.0538013133643,0,2.68771082699775,0.168249344829456,4.65684529230388,1.69125070926318,7.70996876118862,0.814119203186694,0,1.08704967253341,0,0.136968058858788,0.0092944396015084,16.4911404252406,3.22518928051293,0,1.92238743171897,0
"16","2015","Medium","S.Lagoon","35","35.1","2015.35.1",1.74777126725333,0,0,36.4333216824828,0,0,4.24961806762678,0.198283108172056,0,14.8002784959345,0,0.991652930844861,0.30477125757032,8.89247264470872,2.76457504225386,13.0203034031416,0.995988421615857,0,0.133544360535414,0,0,0,0.266389045326806,12.7131769870401,2.487853285493,0,0
"17","2015","Medium","S.Lagoon","35","35.2","2015.35.2",0.653029430931764,0,0,39.3215668582972,0,0,7.49883030599845,0,0,7.46902333534067,0,0.792080729596673,0,8.46327416983901,1.84429615721237,14.1294412214473,2.45424261399698,1.2136453825154,0.0498740404026584,0,0,0,0,10.2877156733623,2.03092240485213,0,3.79205767620708
"18","2015","Medium","S.Lagoon","35","35.3","2015.35.3",4.03852650072943,0,0,35.919957431849,0,0,5.41761813902035,0.44264979367854,0,6.48662626224258,0,2.57094488787657,0.507449145285182,12.5113665947097,1.42411756646572,20.3548620411683,2.62882822692743,0,0.853099832422579,0,0.972227680131358,0.10209708869608,0,4.86635508582759,0.450190558949386,0,0.453083164020141
"19","2015","Very Low","BOW","15","15.1","2015.15.1",6.19237635297361,0,11.9841947638754,3.87829068881864,0,1.34900325778466,6.39516899855518,0,0,1.3800728996844,0.016886896823496,48.7008174594526,0,0.532043417560687,0.896185865779771,9.86561989556229,4.04119553483969,4.6924277193665,0,0,0,0,0,0.0757162489231012,0,0,0
"20","2015","Very Low","BOW","15","15.2","2015.15.2",3.60050709995516,0,3.18677888177603,16.5965827018366,0,1.35679400222726,4.34636318270979,0,0,1.25492938387705,0.167209846796538,31.2759911052055,0,0.459814589159049,0.181023268559085,1.69851382694168,1.64498993999467,30.8319570390094,0,0,0,0,0,3.39854513195221,0,0,0
