"","year","pub.site","site","ppq","DEM","year.site.ppq","vrm.range","pro.range","plan.range"
"325","2016b","VL3",5,1,8,"2016b.5.1",0.371053859,11576.635742,10684.13916
"326","2016b","VL3",5,2,8,"2016b.5.2",0.323957714,8586.70752,8711.574707
"327","2016b","VL3",5,3,8,"2016b.5.3",0.347956815,11688.969238,10457.04834
"328","2017","VH1",27,1,8,"2017.27.1",0.215674611,8346.160889,5906.397461
"329","2017","VH1",27,2,8,"2017.27.2",0.223214896,7058.225586,6041.753906
"330","2017","VH1",27,3,8,"2017.27.3",0.232611819,6145.427979,5792.016846
"331","2017","VH2",32,1,8,"2017.32.1",0.261193503,9271.0542,6625.669677
"332","2017","VH2",32,2,8,"2017.32.2",0.220483657,5438.521484,5171.415039
"333","2017","VH2",32,3,8,"2017.32.3",0.23913189,4799.885254,5902.040772
"334","2017","VH3",30,1,8,"2017.30.1",0.353993497,14327.087403,9813.032227
"335","2017","VH3",30,2,8,"2017.30.2",0.278073038,11993.490723,10271.401367
"336","2017","VH3",30,3,8,"2017.30.3",0.330615559,11120.940918,9538.194824
"337","2017","M1",8,1,8,"2017.8.1",0.322650115,8195.673828,8139.244629
"338","2017","M1",8,2,8,"2017.8.2",0.344603368,12817.863769,11462.113281
"339","2017","M1",8,3,8,"2017.8.3",0.341745632,10987.637207,9110.204102
"340","2017","M2",35,1,8,"2017.35.1",0.24902791,7617.453857,6359.273926
"341","2017","M2",35,2,8,"2017.35.2",0.258053865,8231.514404,7385.905517
"342","2017","M2",35,3,8,"2017.35.3",0.311981679,10132.85254,7410.996094
"343","2017","M3",34,1,8,"2017.34.1",0.327160679,5746.397217,4985.279785
"344","2017","M3",34,2,8,"2017.34.2",0.28507729,5896.449462,7204.821289
"345","2017","M3",34,3,8,"2017.34.3",0.217229513,6898.189209,5769.11377
"346","2017","VL1",15,1,8,"2017.15.1",0.334367574,9505.369629,8218.008056
"347","2017","VL1",15,2,8,"2017.15.2",0.464019954,14734.008301,10673.463867
"348","2017","VL1",15,3,8,"2017.15.3",0.336762351,6613.648926,6800.827393
"349","2017","VL3",19,1,8,"2017.19.1",0.296482803,7867.534668,7748.832764
"350","2017","VL3",19,2,8,"2017.19.2",0.366784718,9913.25,8616.094971
"351","2017","VL3",19,3,8,"2017.19.3",0.385676061,12194.523925,10883.952637
"352","2017","VL3",5,1,8,"2017.5.1",0.352812641,8561.824951,7847.884278
"353","2017","VL3",5,2,8,"2017.5.2",0.330458511,9078.625244,8472.760742
"354","2017","VL3",5,3,8,"2017.5.3",0.324984898,9284.996094,10192.553711
"355","2017","VL4",37,1,8,"2017.37.1",0.353200808,13682.377442,10117.562989
"356","2017","VL4",37,2,8,"2017.37.2",0.308051719,7255.052247,5871.887696
"357","2017","VL4",37,3,8,"2017.37.3",0.451507467,13890.054199,14282.57129
"358","2019","VH1",27,1,8,"2019.27.1",0.220294711,6645.207031,4928.881592
"359","2019","VH1",27,2,8,"2019.27.2",0.273213123,5931.883545,6811.281982
"360","2019","VH1",27,3,8,"2019.27.3",0.200132569,4260.289673,3914.675537
"361","2019","VH2",32,1,8,"2019.32.1",0.29406385,8258.106201,7332.266845
"362","2019","VH2",32,2,8,"2019.32.2",0.216682347,7055.542237,7618.768798
"363","2019","VH2",32,3,8,"2019.32.3",0.411640257,12337.061035,9745.720704
"364","2019","VH3",30,1,8,"2019.30.1",0.30987059,11180.693359,9999.831299
"365","2019","VH3",30,2,8,"2019.30.2",0.291900046,7895.481933,7432.050781
"366","2019","VH3",30,3,8,"2019.30.3",0.346477758,10320.922363,10375.806153
"367","2019","M1",8,1,8,"2019.8.1",0.294184017,7941.158203,7462.611816
"368","2019","M1",8,2,8,"2019.8.2",0.26197531,8506.309814,5781.640137
"369","2019","M1",8,3,8,"2019.8.3",0.335162085,12438.75293,6850.209961
"370","2019","M2",35,1,8,"2019.35.1",0.265808752,8254.303955,7259.314454
"371","2019","M2",35,2,8,"2019.35.2",0.302013184,10102.531739,11558.15039
"372","2019","M2",35,3,8,"2019.35.3",0.316183028,12461.077636,11841.160156
"373","2019","M3",34,1,8,"2019.34.1",0.32022313,9596.801758,10625.932129
"374","2019","M3",34,2,8,"2019.34.2",0.315882273,8783.804444,8849.248535
"375","2019","M3",34,3,8,"2019.34.3",0.233753204,12200.222168,8760.139649
"376","2019","VL3",5,1,8,"2019.5.1",0.393628297,12836.675781,15619.930176
"377","2019","VL3",5,2,8,"2019.5.2",0.310722747,11916.794922,14714.663574
"378","2019","VL3",5,3,8,"2019.5.3",0.294708013,7642.839112,6170.995117
"379","2019","VL4",37,1,8,"2019.37.1",0.414636198,12634.483887,11561.571289
"380","2019","VL4",37,2,8,"2019.37.2",0.375274509,13927.782714,13933.657715
"381","2019","VL4",37,3,8,"2019.37.3",0.459514078,13802.220703,12103.561523
