"","year","pub.site","site","ppq","DEM","year.site.ppq","vrm.range","pro.range","plan.range"
"67","2016b","VL1",15,2,1,"2016b.15.2",0.803958253,1406574.875,1359001.5
"68","2016b","VL1",15,3,1,"2016b.15.3",0.840409302,1674124.75,1533190.1875
"69","2016b","VL3",19,1,1,"2016b.19.1",0.77723398,596845.7188,458214.1094
"70","2016b","VL3",19,2,1,"2016b.19.2",0.710720827,560049.7969,540841.8438
"71","2016b","VL3",5,1,1,"2016b.5.1",0.833873232,714253.0001,619578.5001
"72","2016b","VL3",5,2,1,"2016b.5.2",0.819573795,658170,563703.8438
"73","2016b","VL3",5,3,1,"2016b.5.3",0.695237244,672434.1251,741051.9376
"74","2017","VH1",27,1,1,"2017.27.1",0.637380444,566173.8126,326365.6875
"75","2017","VH1",27,2,1,"2017.27.2",0.537683019,557802.7188,388155.3594
"76","2017","VH1",27,3,1,"2017.27.3",0.571936146,592643.7188,415050.5001
"77","2017","VH2",32,1,1,"2017.32.1",0.728532581,756305.75,385997.6407
"78","2017","VH2",32,2,1,"2017.32.2",0.563885182,324773.2656,233852.5547
"79","2017","VH2",32,3,1,"2017.32.3",0.720729021,348388.6562,276180.7891
"80","2017","VH3",30,1,1,"2017.30.1",0.867480917,1036232.0938,838620
"81","2017","VH3",30,2,1,"2017.30.2",0.669265247,717407.4688,574212.4219
"82","2017","VH3",30,3,1,"2017.30.3",0.636812102,857302.6251,624484.0313
"83","2017","M1",8,1,1,"2017.8.1",0.705036185,675719.7813,595250.3438
"84","2017","M1",8,2,1,"2017.8.2",0.635325669,711490.6563,465940.4531
"85","2017","M1",8,3,1,"2017.8.3",0.642025551,855188.9376,465633.9375
"86","2017","M2",35,1,1,"2017.35.1",0.562182979,522536.2344,404768.1562
"87","2017","M2",35,2,1,"2017.35.2",0.591057973,616592.3125,555407.6094
"88","2017","M2",35,3,1,"2017.35.3",0.711966347,644904.5938,565119.9063
"89","2017","M3",34,1,1,"2017.34.1",0.57468637,432752.5782,386191.4063
"90","2017","M3",34,2,1,"2017.34.2",0.561435135,497461.75,323101.5781
"91","2017","M3",34,3,1,"2017.34.3",0.595123896,640298.2813,448328.4531
"92","2017","VL1",15,1,1,"2017.15.1",0.814488109,816041.1563,640138.0313
"93","2017","VL1",15,2,1,"2017.15.2",0.7985345,1029458.0001,916802.5313
