"","year","hum_dist","region","site","site.ppq","year.site.ppq","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Branching","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating"
"1","2015","Very High","N.Lagoon","27","27.1","2015.27.1",0.00544494214748968,0,0,0.0656008029914682,0,0,0.00442501548421048,0,0,0.0116694385122158,0,0.00672211607751668,0.00238734963441013,0.00417120568093964,0,0.00349752533879328,0,0,0.00332008972404668,0,0,0,0,0.796447975240263,0.0963135391686463,0,0
"2","2015","Very High","N.Lagoon","27","27.2","2015.27.2",0,0,0,0.0371683359767582,0,0,0.00161679144115092,0,0,0,0,0,0.000778096499209222,0.000724182626963733,0,0,0,0,0.00662259764658139,0,0,0,0,0.901361915640471,0.051728080168866,0,0
"3","2015","Very High","N.Lagoon","27","27.3","2015.27.3",0.000865594534017759,0,0,0.0947008744665034,0,0,0.000248864671999047,0,0,0.00258479614168604,0,0,0.000504472290454666,0.00166975333365342,0,0.00151066974502984,0,0,0.000423182324839323,0,0,0,0,0.8694439447935,0.0280478476983171,0,0
"4","2015","Very High","N.Lagoon","30","30.1","2015.30.1",0.0121547309957269,0.000832301426304504,0,0.332277201768684,0,0,0.0421158364301976,0,0,0.112698651326248,0.00310978191744715,0.00439408761699718,0.00191090122194545,0.0342293002900272,0.0132245388748928,0.157665562855063,0.0332537093313847,0.0133059732218177,0.000590741962302133,0,0,0,0,0.206334868884154,0.0309251608998657,0,0.000976650976940923
"5","2015","Very High","N.Lagoon","30","30.2","2015.30.2",0.00249112158818575,0,0,0.0895077097205217,0,0,0.0380428756277702,0,0.000218645473798182,0.0400547263373903,0,0.0019676843239129,0,0.023672370627317,0.00273488005640304,0.0332905225495636,0.017379191660187,0,0,0,0,0,0,0.731506606622871,0.0191336654120789,0,0
"6","2015","Very High","N.Lagoon","30","30.3","2015.30.3",0.0106320263443373,0,0,0.174365991357554,0,0,0.0251222209705356,0,0.00141847900164372,0.0789887603386027,0,0.0102312100233955,8.9934717975305e-05,0.0485037539186953,0.000275032192894722,0.15641085166622,0.0148117812613391,0,0.000489568506293252,0,0,0,0,0.414430009939498,0.0490819501332216,0.000259659268784064,0.0148887703590107
"7","2015","Very High","N.Lagoon","32","32.1","2015.32.1",0.00472822745797671,0,0,0.374217428649307,0,0,0.0121196188218647,0.000491006794977031,0,0.0039537817920343,0,0.00737765341464534,0.00244935145951661,0.00537684599790122,0,0.00110946429179154,1.27388256613652e-05,0,0.00294822635269624,0,0,0,0.000258773007552438,0.550691190571271,0.0342656925628051,0,0
"8","2015","Very High","N.Lagoon","32","32.2","2015.32.2",0.00478124514167728,0,0,0.244190647919967,0,0,0.0125026769553325,0,0,0.0229518872300958,0,0.00109812922186294,0.000367125302737893,0.00685331783248722,0.00200788819910679,0,0.000611563323183276,0,0.000955275022430232,0,0,0,0,0.702923765931396,0,0.000756477919723183,0
"9","2015","Very High","N.Lagoon","32","32.3","2015.32.3",0.000417720469533802,0,0,0.198291207146556,0,0,0.00774688413704955,0,0,0.0101404986492809,0,0.00425998657121781,9.07164405867604e-05,0.00491568150507322,0,0.000315508281655055,0,0,0.0113644833514402,0,0,0,0.00124691371985576,0.700014038556612,0.0611963611711393,0,0
"10","2015","Medium","S.Lagoon","8","8.1","2015.8.1",0.0432273693881102,0.00898590777156546,0.000335940501983226,0.443783786490035,0,0,0.0239607935905957,0.00224118875875992,0,0.0904191245771017,0.0015898972527727,0.0375812784513694,0.00639695050134489,0.0759796908696528,0.0374215690323937,0.0681829674160243,0.0265886143205278,0,0.00070110682632602,0,0.000113711604341192,0.00131021802338316,0.00145565873251301,0.0882251226921301,0.00273927938008714,0.0143395527385284,0.0244202710804542
"11","2015","Medium","S.Lagoon","8","8.2","2015.8.2",0.0311946007915433,0,0.000624215553610304,0.322937797988132,0,0,0.0731658202947504,0,0,0.0985044497375003,0,0.0870226061093052,0.0072549287201926,0.155455780723831,0.0703038225863723,0.0637990268258414,0.0549642593811122,0,0.0129606860999613,0,0,0,0,0.0161926286476464,0,0.00561937654020066,0
