"region","timepoint","hum_dist","site","pub.site","mpq","volume.change","ID","timeblock"
"Vaskes","2017-2019","Very Low","37","VL4","1",0.047,"VL4.1","3"
"Vaskes","2017-2019","Very Low","37","VL4","2",0.067,"VL4.2","3"
"Vaskes","2017-2019","Very Low","37","VL4","3",0.145,"VL4.3","3"
"Vaskes","2017-2019","Very Low","5","VL3","1",-0.236,"VL3.1","3"
"Vaskes","2017-2019","Very Low","5","VL3","2",-0.046,"VL3.2","3"
"Vaskes","2017-2019","Very Low","5","VL3","3",-0.214,"VL3.3","3"
"S.Lagoon","2017-2019","Medium","8","M1","1",0.056,"M1.1","3"
"S.Lagoon","2017-2019","Medium","8","M1","2",0.009,"M1.2","3"
"S.Lagoon","2017-2019","Medium","8","M1","3",-0.14,"M1.3","3"
"N.Lagoon","2017-2019","Very High","27","VH1","1",0.138,"VH1.1","3"
"N.Lagoon","2017-2019","Very High","27","VH1","2",0.451,"VH1.2","3"
"N.Lagoon","2017-2019","Very High","27","VH1","3",-0.067,"VH1.3","3"
"N.Lagoon","2017-2019","Very High","30","VH3","1",-0.883,"VH3.1","3"
"N.Lagoon","2017-2019","Very High","30","VH3","2",0.014,"VH3.2","3"
"N.Lagoon","2017-2019","Very High","30","VH3","3",0.094,"VH3.3","3"
"N.Lagoon","2017-2019","Very High","32","VH2","1",0.641,"VH2.1","3"
"N.Lagoon","2017-2019","Very High","32","VH2","2",-0.122,"VH2.2","3"
"N.Lagoon","2017-2019","Very High","32","VH2","3",-0.225,"VH2.3","3"
"S.Lagoon","2017-2019","Medium","34","M3","1",0.03,"M3.1","3"
"S.Lagoon","2017-2019","Medium","34","M3","2",-0.049,"M3.2","3"
"S.Lagoon","2017-2019","Medium","34","M3","3",0.075,"M3.3","3"
"S.Lagoon","2017-2019","Medium","35","M2","1",0.115,"M2.1","3"
"S.Lagoon","2017-2019","Medium","35","M2","2",0.048,"M2.2","3"
"S.Lagoon","2017-2019","Medium","35","M2","3",-0.355,"M2.3","3"
