"","year","pub.site","site","ppq","hum_dist","hdist.cont","sqrt.hdist.cont","island.side","region.3","DEM","year.site.ppq","area_2d","area_3d","rug","vrm","vrm.range","curv","pro.curv","pro.range.log","plan.curv","plan.range.log"
"152","2015","VL3","5",2,"Very Low",0,0,"Leeward","South Shore",4,"2015.5.2",16.02239,26.54519,1.65676,0.08956,0.688197384,-10.75353,-14.80893,11.1120056364106,-25.56246,11.2036667879586
"153","2015","VL3","5",3,"Very Low",0,0,"Leeward","South Shore",4,"2015.5.3",16.01333,23.19062,1.44821,0.07043,0.435554262,17.05237,-28.5853,10.1781703133583,-11.53293,10.069630228377
"154","2016a","VH1","27",1,"Very High",7276,85.2994724485445,"Leeward","Leeward",4,"2016a.27.1",15.99872,19.85829,1.24124,0.04482,0.449476915,1.73851,126.93345,10.3526735118166,128.67196,10.0925604778824
"155","2016a","VH1","27",2,"Very High",7276,85.2994724485445,"Leeward","Leeward",4,"2016a.27.2",16.00613,19.12874,1.19509,0.03456,0.328337927,-6.17462,105.25283,10.0563023935278,99.07821,9.83261909164123
"156","2016a","VH1","27",3,"Very High",7276,85.2994724485445,"Leeward","Leeward",4,"2016a.27.3",16.00602,17.68825,1.1051,0.0258,0.398927539,-0.9535,134.5002,10.3749053732166,133.5467,9.97917943274851
"157","2016a","VH2","32",1,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward",4,"2016a.32.1",16.010175,22.873109,1.42866,0.067424978,0.406407121,4.195812307,58.14595409,10.5739797428176,62.34176455,10.5155498647909
"158","2016a","VH2","32",2,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward",4,"2016a.32.2",16.017657,19.561199,1.22123,0.042263159,0.374080443,-3.84316348,103.9375524,9.85854800224575,100.0943887,9.72022033390493
"159","2016a","VH2","32",3,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward",4,"2016a.32.3",16.006488,19.282586,1.20467,0.036587291,0.258621606,-8.290587004,93.83307458,9.85584373768967,85.54248695,9.50802834594002
"160","2016a","VH3","30",1,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward",4,"2016a.30.1",16.0047,26.35106,1.64646,0.07743,0.613784694,17.66709,112.07547,11.1356426433053,129.74256,10.9079803064673
"161","2016a","VH3","30",2,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward",4,"2016a.30.2",15.99734,21.02927,1.31455,0.06457,0.359854711,0,144.77938,10.5077846817803,144.77938,10.0356695062023
"162","2016a","VH3","30",3,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward",4,"2016a.30.3",16.012648,22.915536,1.43109,0.063616577,0.387803723,6.153412857,135.1208745,10.3884206237992,141.2742891,10.1263601295401
"163","2016a","M1","8",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016a.8.1",16.01002,20.69339,1.29253,0.04834,0.501135696,27.73193,47.43209,10.1340861752204,75.16402,10.0243220692405
"164","2016a","M1","8",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016a.8.2",16.01073,23.09919,1.44273,0.06645,0.437603069,36.30308,65.34596,10.6813362380091,101.64904,10.2789644078787
