"","year","hum_dist","pub.site","site","ppq","DEM","area_2d","area_3d","rug","vrm","curv","pro.curv","plan.curv","region.kb","island.side","region.3","region.4","region.full","hdist.cont","sqrt.hdist.cont"
"27","2015","Very Low","VL3","5",1,8,16.00663,21.34386,1.33344,0.07599,11.16566,23.28326,34.44891,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"28","2015","Very Low","VL3","5",2,8,16.02239,21.74886,1.3574,0.07006,-17.60075,12.8722,-4.72855,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"29","2015","Very Low","VL3","5",3,8,16.01333,19.46078,1.21529,0.05123,28.21901,-3.46423,24.75478,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"30","2015","Very High","VH1","27",1,8,15.99876,18.34028,1.14636,0.04064,-6.19688,100.23099,94.03412,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"31","2015","Very High","VH1","27",2,8,16.00535,18.29991,1.14336,0.03884,2.57403,59.82929,62.40332,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"32","2015","Very High","VH1","27",3,8,16.00504,17.47931,1.09211,0.02884,4.80642,60.22814,65.03456,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"33","2015","Very High","VH3","30",1,8,16.00174,24.19481,1.51201,0.08909,24.81584,55.47518,80.29102,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"34","2015","Very High","VH3","30",2,8,15.99792,21.0593,1.31638,0.0545,-9.04595,103.6073,94.56136,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"35","2015","Very High","VH3","30",3,8,16.01118,19.79531,1.23634,0.05395,-9.444,115.36604,105.92203,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"36","2015","Medium","M1","8",1,8,16.00881,18.55915,1.15931,0.03923,22.82904,24.53572,47.36476,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"37","2015","Medium","M1","8",2,8,16.00972,20.35748,1.27157,0.05811,45.41586,17.79539,63.21125,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"38","2015","Medium","M1","8",3,8,16.01384,19.19765,1.19882,0.04116,-0.47173,29.37697,28.90525,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"39","2015","Very High","VH2","32",1,8,16.0083,18.91985,1.18188,0.04423,9.29343,49.07199,58.36542,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"40","2015","Very High","VH2","32",2,8,16.0163,17.51249,1.09342,0.02809,-4.34114,43.48941,39.14827,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"41","2015","Very High","VH2","32",3,8,16.00447,17.40694,1.08763,0.03135,-1.69619,75.21812,73.52194,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"42","2015","Medium","M3","34",1,8,16.00784,20.0182,1.25052,0.04694,-8.48429,65.5944,57.11012,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"43","2015","Medium","M3","34",2,8,16.0031,18.92807,1.18278,0.04139,21.59378,46.03671,67.63049,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
