"","year","hum_dist","pub.site","site","ppq","DEM","area_2d","area_3d","rug","vrm","curv","pro.curv","plan.curv","region.kb","island.side","region.3","region.4","region.full","hdist.cont","sqrt.hdist.cont"
"44","2015","Medium","M3","34",3,8,16.00392,18.90459,1.18125,0.03856,7.92886,43.29949,51.22835,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"45","2015","Medium","M2","35",1,8,16.00591,19.00001,1.18706,0.04705,27.65889,44.20526,71.86415,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"46","2015","Medium","M2","35",2,8,16.00473,20.71615,1.29438,0.06179,38.93075,19.97492,58.90567,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"47","2015","Medium","M2","35",3,8,16.00504,20.48014,1.27961,0.05691,2.97497,43.28095,46.25592,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"48","2015","Very Low","VL1","15",1,8,15.98005,20.55434,1.28625,0.06108,-24.99276,36.81396,11.8212,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"49","2015","Very Low","VL1","15",2,8,16.00737,23.08581,1.4422,0.08429,-7.38245,15.50826,8.12581,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"50","2015","Very Low","VL1","15",3,8,16.00391,22.58955,1.4115,0.08158,7.7654,14.66485,22.43025,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"51","2015","Very Low","VL3","19",1,8,16.00236,22.9285,1.43282,0.09234,-17.70794,71.11422,53.40627,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"52","2015","Very Low","VL3","19",2,8,16.00487,19.86451,1.24115,0.05752,-4.89715,35.52824,30.63109,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"109","2017","Very Low","VL3","5",1,8,16.0064,21.04629,1.31487,0.07035,-12.18105,36.49294,24.31188,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"110","2017","Very Low","VL3","5",2,8,16.02332,19.00386,1.18601,0.0445,-0.48524,13.45506,12.96981,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"111","2017","Very Low","VL3","5",3,8,16.01441,20.19694,1.26117,0.05403,3.3672,39.64218,43.00937,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"112","2017","Very High","VH1","27",1,8,15.99916,17.95656,1.12234,0.03305,2.99629,45.15949,48.15578,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"113","2017","Very High","VH1","27",2,8,16.00492,17.8302,1.11405,0.03259,-11.11879,68.53732,57.41853,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"114","2017","Very High","VH1","27",3,8,16.00605,16.6497,1.04021,0.02013,4.10919,70.52735,74.63654,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"115","2017","Very High","VH3","30",1,8,16.00278,22.75711,1.42207,0.05916,18.52962,24.10545,42.63506,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"116","2017","Very High","VH3","30",2,8,16.00015,20.04172,1.2526,0.04809,-3.48627,79.70926,76.22299,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"117","2017","Very High","VH3","30",3,8,16.01308,20.02738,1.25069,0.05351,8.12088,71.67716,79.79804,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"118","2017","Medium","M1","8",1,8,16.00906,20.05835,1.25294,0.04881,38.2848,19.73777,38.2848,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"119","2017","Medium","M1","8",2,8,16.00633,20.27982,1.26699,0.04427,28.06343,-18.00029,10.06314,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"120","2017","Medium","M1","8",3,8,16.01648,19.34658,1.20792,0.04165,-4.47345,36.55111,32.07766,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"121","2017","Very High","VH2","32",1,8,16.011,18.79263,1.17373,0.04129,6.82197,56.96381,63.78579,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"122","2017","Very High","VH2","32",2,8,16.01346,17.36764,1.08456,0.02745,1.17457,60.69723,61.8718,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"123","2017","Very High","VH2","32",3,8,16.00488,17.23134,1.07663,0.0257,1.25254,67.99377,69.24631,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"124","2017","Medium","M3","34",1,8,16.00947,18.53905,1.15801,0.03569,-7.38916,71.6109,64.22174,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"125","2017","Medium","M3","34",2,8,16.00545,18.21751,1.13821,0.03643,14.03749,40.88011,54.91761,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"126","2017","Medium","M3","34",3,8,16.00539,18.18955,1.13646,0.02721,5.7622,20.04608,25.80827,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"127","2017","Medium","M2","35",1,8,16.00533,18.92222,1.18224,0.0491,11.43445,44.14344,55.57789,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"128","2017","Medium","M2","35",2,8,16.00509,19.80206,1.23724,0.05356,17.13003,41.23725,58.36729,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"129","2017","Medium","M2","35",3,8,16.00465,20.01004,1.25026,0.0531,26.76145,26.76467,53.52612,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"130","2017","Very Low","VL1","15",1,8,15.97992,21.1672,1.32461,0.06606,-4.33365,64.32564,59.99199,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"131","2017","Very Low","VL1","15",2,8,16.00776,21.34706,1.33354,0.06633,-13.95238,55.85606,41.90368,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"132","2017","Very Low","VL1","15",3,8,16.00493,21.07889,1.31702,0.07555,5.58298,30.62407,36.20706,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"133","2017","Very Low","VL3","19",1,8,16.00482,18.83212,1.17665,0.05259,-17.03112,54.4811,37.44998,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"134","2017","Very Low","VL3","19",2,8,16.00368,19.73879,1.23339,0.05949,-2.12629,76.75354,74.62724,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"135","2017","Very Low","VL3","19",3,8,16.00214,19.95068,1.24675,0.05566,-26.38852,57.29808,30.90956,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"136","2017","Very Low","VL4","37",1,8,16.00379,19.94908,1.24652,0.04576,-23.68933,91.68273,67.9934,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"137","2017","Very Low","VL4","37",2,8,16.00322,18.57934,1.16098,0.04002,2.77801,43.59312,46.37113,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"138","2017","Very Low","VL4","37",3,8,16.00538,22.20634,1.38743,0.06838,-7.55393,94.81976,87.26583,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"193","2019","Very Low","VL3","5",1,8,16.00616,24.13875,1.50809,0.10053,-13.76699,74.7303,60.96331,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"194","2019","Very Low","VL3","5",2,8,16.02338,21.19449,1.32272,0.06504,0.48296,24.20339,24.68635,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"195","2019","Very Low","VL3","5",3,8,16.01611,19.29688,1.20484,0.05089,10.90453,19.47118,30.3757,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"196","2019","Very High","VH1","27",1,8,15.99812,17.61167,1.10086,0.03298,4.23904,65.07078,69.30982,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"197","2019","Very High","VH1","27",2,8,16.00581,18.02168,1.12595,0.03533,6.75962,59.31821,66.07782,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"198","2019","Very High","VH1","27",3,8,16.00719,16.53689,1.03309,0.01676,1.26928,53.36077,54.63005,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"199","2019","Very High","VH3","30",1,8,16.00415,19.82179,1.23854,0.05871,7.15933,93.28683,100.44616,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"200","2019","Very High","VH3","30",2,8,15.9991,18.31531,1.14477,0.03788,-11.54642,113.76353,102.21711,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"201","2019","Very High","VH3","30",3,8,16.01165,20.02367,1.25057,0.05628,-8.01897,103.84456,95.8256,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"202","2019","Medium","M1","8",1,8,16.01205,19.14906,1.19592,0.04827,23.49679,31.16821,54.665,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"203","2019","Medium","M1","8",2,8,16.01,18.93876,1.18293,0.04284,45.58713,-9.71348,35.87365,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"204","2019","Medium","M1","8",3,8,16.01658,18.95813,1.18366,0.03872,-6.06996,38.23999,32.17003,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"205","2019","Very High","VH2","32",1,8,16.01162,19.21333,1.19996,0.05135,1.50416,64.85006,66.35421,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"206","2019","Very High","VH2","32",2,8,16.01488,18.00463,1.12424,0.03701,2.04331,82.62462,84.66793,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"207","2019","Very High","VH2","32",3,8,16.00661,18.53266,1.15781,0.04305,3.36289,81.54453,84.90743,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"208","2019","Medium","M3","34",1,8,16.00771,20.01288,1.2502,0.05383,-9.82214,94.80053,84.97839,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"209","2019","Medium","M3","34",2,8,16.00646,19.75749,1.23434,0.05088,18.22747,63.57657,81.80404,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"210","2019","Medium","M3","34",3,8,16.0061,19.25636,1.20306,0.04111,6.30418,53.72118,60.02536,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"211","2019","Medium","M2","35",1,8,16.00657,19.00307,1.1872,0.04951,17.82476,58.94959,76.77435,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"212","2019","Medium","M2","35",2,8,16.00755,20.59048,1.2863,0.05811,23.61751,23.45675,47.07426,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"213","2019","Medium","M2","35",3,8,16.00397,21.8892,1.36774,0.07011,19.76598,42.29086,62.05684,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"214","2019","Very Low","VL4","37",1,8,16.00458,19.84915,1.24022,0.05345,-3.80322,98.36449,94.56127,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"215","2019","Very Low","VL4","37",2,8,16.00275,20.64093,1.28984,0.0584435,-4.8156,50.01137,45.19577,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"216","2019","Very Low","VL4","37",3,8,16.00956,21.82672,1.36336,0.07253,4.32292,99.55348,103.8764,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"242","2016a","Very Low","VL3","5",1,8,16.00809,22.87352,1.42887,0.09323,0.11844,59.81445,59.93289,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"244","2016a","Very Low","VL3","5",2,8,16.02436,21.13134,1.3187,0.06408,2.27281,26.94285,29.21566,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"246","2016a","Very Low","VL3","5",3,8,16.01381,21.29078,1.32953,0.06356,10.29303,13.1648,23.45784,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"254","2016a","Medium","M1","8",1,8,16.01002,18.38343,1.14825,0.03412,22.97763,11.55316,34.53079,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"256","2016a","Medium","M1","8",2,8,16.01073,19.54312,1.22063,0.04584,30.01366,22.6121,52.62577,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"258","2016a","Medium","M1","8",3,8,16.01619,19.83832,1.23864,0.03889,5.13096,8.88733,14.01829,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"275","2016a","Very Low","VL1","15",1,8,15.98617,20.14501,1.26015,0.0564,-24.16538,50.07544,25.91006,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"277","2016a","Very High","VH1","27",1,8,15.99872,17.67685,1.10489,0.03149,2.31765,53.45467,55.77233,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"279","2016a","Very High","VH1","27",2,8,16.00613,17.40094,1.08714,0.0255,-6.60794,54.45653,47.84859,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"281","2016a","Very High","VH1","27",3,8,16.00602,16.02759,1.00135,0.01337,-0.91703,54.81245,53.89542,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"283","2016a","Very High","VH3","30",1,8,16.0047,22.22773,1.38883,0.06372,8.53694,79.34778,87.88472,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"285","2016a","Very High","VH3","30",2,8,15.99734,18.35043,1.14709,0.03879,-16.72493,114.67007,97.94514,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"313","2016b","Very Low","VL3","5",1,8,16.00811,21.83007,1.36369,0.08278,0.26623,50.17577,49.90955,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"315","2016b","Very Low","VL3","5",2,8,16.02397,19.59939,1.22313,0.04647,1.70049,-3.42929,-1.7288,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"317","2016b","Very Low","VL3","5",3,8,16.014067,20.23365,1.26349,0.05728,8.76008,22.15684,30.91692,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0
"319","2016b","Very Low","VL1","15",2,8,16.00753,22.80133,1.42441,0.07488,-0.77487,50.44387,49.669,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"321","2016b","Very Low","VL1","15",1,8,15.97978,20.88876,1.3072,0.06661,-17.62452,79.59942,61.97491,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"323","2016b","Very Low","VL1","15",3,8,16.00741,23.21244,1.45011,0.09546,-4.88598,65.56557,60.67959,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"325","2016b","Very Low","VL3","19",1,8,16.00101,18.85127,1.17813,0.05262,-4.5381,55.10466,50.56656,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"327","2016b","Very Low","VL3","19",2,8,16.00523,19.11519,1.19431,0.04986,-0.27629,64.43602,64.15973,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0
"329","2016b","Medium","M1","8",1,8,16.01289,19.36786,1.20952,0.04015,13.89738,30.26482,44.1622,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"331","2016b","Medium","M1","8",2,8,16.00826,19.35391,1.209,0.0448,41.49912,5.79725,47.29637,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"333","2016b","Medium","M1","8",3,8,16.01748,19.8506,1.23931,0.04291,3.04577,14.03768,17.08345,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"335","2016b","Very High","VH1","27",1,8,15.99962,18.15943,1.13499,0.03317,-6.6711,51.87973,45.20863,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"337","2016b","Very High","VH1","27",2,8,16.00517,17.28284,1.07983,0.02512,-4.71852,31.59213,26.8736,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"339","2016b","Very High","VH1","27",3,8,16.00472,16.50216,1.03108,0.01497,-0.03996,43.72287,43.68291,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445
"341","2016b","Very High","VH2","32",1,8,16.00932,18.75707,1.17163,0.03877,11.37922,32.4197,43.79892,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"343","2016b","Very High","VH2","32",2,8,16.01919,17.36378,1.08394,0.02705,-5.07017,46.65394,41.58377,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"345","2016b","Very High","VH2","32",3,8,16.00698,17.08969,1.06764,0.02506,-2.65043,70.35539,67.70496,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"347","2016b","Very High","VH3","30",1,8,16.00681,22.62792,1.41364,0.07415,8.92886,86.71776,95.64662,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"349","2016b","Very High","VH3","30",2,8,15.99858,19.47619,1.21737,0.04767,-11.23384,106.20436,94.97051,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"351","2016b","Very High","VH3","30",3,8,16.01256,19.61528,1.22499,0.05466,-2.0635,96.54174,94.47824,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"353","2016b","Medium","M3","34",1,8,16.00776,19.14844,1.1962,0.04531,-2.7061,85.53702,82.83092,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"355","2016b","Medium","M3","34",2,8,16.0048,18.79241,1.17417,0.03933,18.65542,37.72017,56.37558,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"357","2016b","Medium","M3","34",3,8,16.00619,18.44348,1.15227,0.02817,6.42901,19.96662,26.39563,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"359","2016b","Medium","M2","35",1,8,16.00581,18.69443,1.16798,0.04063,18.59868,31.17565,49.77433,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"361","2016b","Medium","M2","35",2,8,16.00442,19.51731,1.2195,0.04719,25.91347,28.57664,54.49012,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"363","2016b","Medium","M2","35",3,8,16.005818,20.853676,1.30288,0.05698,10.68182,26.3146,36.99641,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"365","2016a","Very High","VH3","30",3,8,16.012648,19.670193,1.22842,0.04933405,0.474278211,73.64432657,74.11860485,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761
"367","2016a","Very High","VH2","32",1,8,16.010175,19.729142,1.23229,0.04083821,11.31420147,23.48278741,34.79698861,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"369","2016a","Very High","VH2","32",2,8,16.017657,17.425256,1.08788,0.024942979,-3.78797374,46.24572738,42.45775243,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"371","2016a","Very High","VH2","32",3,8,16.006488,17.296411,1.08059,0.021776131,-7.968942103,44.19364385,36.22470205,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069
"373","2016a","Medium","M3","34",1,8,16.007976,19.206721,1.19982,0.044551065,-4.715496572,75.33315487,70.61765839,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"375","2016a","Medium","M3","34",2,8,16.003706,18.69701,1.16829,0.038676426,20.26670918,38.92738224,59.19409115,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"377","2016a","Medium","M3","34",3,8,16.004702,18.764677,1.17245,0.036472159,4.887646978,49.67135654,54.55900367,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"379","2016a","Medium","M2","35",1,8,16.005977,18.945185,1.18363,0.04200558,13.99165738,30.96876177,44.96041864,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
"381","2016a","Medium","M2","35",2,8,16.007363,19.489075,1.21751,0.050447963,28.70522686,24.84366201,53.54889025,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771
